bowler,team,islegal,match_id,WII,DPI,COI,BER,MIQ_B,ERS,Choke_Rate,PBI,recent_form,DCI,wkt_pt,score,rank
Jagjit Singh,CSK,429,19,0.3412587412587412,1.7951048951048953,0.27972027972027974,0.1882032355407983,0.8216157921288606,-0.5150863729055564,0.13986013986013987,0.9210526315789473,0.631522021324166,0.9890109890109889,4.6,10.192262352622262,40
Shakib Al Hasan,PBKS,168,9,0.3428571428571428,1.1238095238095238,0.5714285714285714,0.0031273809386552615,3.2048218573868676,0.3805702982947577,0.17857142857142858,0.2777777777777778,2.064668249412951,,2.0,10.147632230477676,41
Mohsin Khan,RCB,112,5,0.4392857142857142,0.7870535714285715,0.42857142857142855,0.6991976491526962,2.95712237699722,-0.16616781851859344,0.10714285714285714,0.5,2.713606494756601,,1.6,10.065812273816494,42
HV Patel,PBKS,441,22,0.31836734693877544,1.6232426303854877,0.17687074829931973,0.03003309539337798,0.5412816539164167,-0.8374430143565931,0.14965986394557823,1.0227272727272727,1.0843911064467704,0.9542410714285714,5.0,10.063371775124978,43
KH Pandya,SRH,564,25,0.2340425531914893,1.2779255319148937,0.24468085106382978,-0.18038078448595962,2.1604703781867016,0.40920320285579703,0.09574468085106383,0.8,-0.17620899859250588,0.9304511278195489,4.2,9.995928542804858,44
GJ Maxwell,RR,562,28,0.27117437722419924,1.2377224199288257,0.2669039145907473,-0.22221153389027226,1.2991953311601103,0.09899761534830313,0.09608540925266904,1.25,-0.4135604828049219,1.234472049689441,4.6,9.718779100499102,45
Harpreet Brar,RCB,463,22,0.28509719222462204,1.1974082073434127,0.11663066954643629,-0.22010977016339384,0.8336968718799395,0.7549286234834224,0.11663066954643629,1.4772727272727273,-0.07985839609043596,1.1865821094793056,4.0,9.668278904522474,46
GF Linde,RR,156,7,0.20769230769230773,0.7846153846153847,0.3076923076923077,0.08109712905493184,3.866350654219713,3.250454506718177,0.07692307692307693,0.3571428571428571,-0.3376507738901402,,1.0,9.594317450168617,47
M Theekshana,MI,355,17,0.26366197183098594,1.0487323943661973,0.35492957746478876,-0.1421885755330081,1.512690242618419,1.5564585696152795,0.11830985915492957,0.44117647058823534,0.2575350853885906,1.1405529953917048,3.0,9.551858590886122,48
AK Markram,SRH,252,17,0.5380952380952381,1.2916666666666667,0.5,0.18470767340585229,1.5355492839101423,-0.5348437597048981,0.2619047619047619,1.3235294117647058,-0.002537180876103837,,4.4,9.498072095166366,49
T Natarajan,CSK,525,26,0.3748571428571429,1.584,0.2057142857142857,-0.03141667258078028,-0.08654085059850275,-1.4053581302163012,0.18285714285714286,0.7692307692307693,-0.3433440020587488,0.8908163265306122,7.0,9.14081601173562,50
SH Johnson,SRH,254,12,0.4110236220472441,0.9797244094488189,0.47244094488188976,0.054930579463007334,1.639841013707005,-0.34039650342895705,0.2125984251968504,0.625,1.7263703589832102,,3.2,8.981532850299068,51
CV Varun,PBKS,408,20,0.39117647058823535,1.3731617647058825,0.29411764705882354,0.2084846943479413,0.580015320449008,-2.09148057609385,0.1323529411764706,0.5,0.9345959475216012,0.8485714285714285,5.2,8.370995638325542,52
Mohammed Shami,PBKS,384,17,0.271875,1.4166666666666665,0.359375,0.014947334963371896,1.0991744257065075,0.18354070676701958,0.109375,0.44117647058823534,0.4018567129570879,1.0438144329896908,3.0,8.341801750638579,53
Swapnil Singh,RR,346,16,0.33988439306358387,1.1384393063583815,0.36416184971098264,0.006537761262765084,2.034562728620031,0.03931514882852283,0.13872832369942195,0.78125,-0.35380177578690225,,3.8,8.289077735756788,54
Shahbaz Ahmed,LSG,402,18,0.35522388059701493,1.295273631840796,0.2835820895522388,-0.017536272946770612,0.12846343881989775,-1.5233064545421517,0.16417910447761194,1.6666666666666665,0.18355604637513265,1.1219676549865227,4.6,8.258069785826958,55
TU Deshpande,RR,174,8,0.2827586206896552,1.1224137931034484,0.3793103448275862,0.040768403466091625,2.080085056164663,0.3135338345864649,0.10344827586206896,1.25,-0.1460691275814054,1.0529556650246306,1.6,8.079204866143204,56
PJ Cummins,PBKS,402,19,0.3014925373134328,2.0294776119402984,0.208955223880597,-0.06326233261234887,-0.18695492982182726,0.21030937039854436,0.1044776119402985,1.0526315789473684,-0.3355421708647296,0.8418367346938774,3.6,7.76342123581551,57
Mujeeb Ur Rahman,RCB,144,6,0.35000000000000003,0.734375,0.625,0.13478713335850342,1.8649060643758044,0.7566563467492268,0.20833333333333334,1.25,0.1788910734909135,,1.6,7.702948951307782,58
SP Narine,LSG,289,13,0.1826989619377163,1.1423875432525952,0.1453287197231834,-0.24386190654643,1.0072251054547425,1.0031923807761876,0.10380622837370242,0.9615384615384616,0.31561066340533694,0.8275586353944562,1.6,7.045484793309953,59
BA Stokes,LSG,378,19,0.31428571428571433,0.9861111111111113,0.14285714285714285,-0.16483348930322594,1.3152029980225575,0.20674210166274207,0.06349206349206349,0.7894736842105263,-0.3257898818722056,,3.6,6.927541444466426,60
SM Curran,KKR,390,19,0.2923076923076923,1.1076923076923078,0.23076923076923078,-0.12315906223104076,0.2586869325861254,-0.14206360071651372,0.13846153846153847,0.7894736842105263,-0.340291111591524,0.9740259740259739,3.6,6.785903585514316,61
Abhishek Sharma,MI,172,11,0.3627906976744186,0.6540697674418605,0.3488372093023256,-0.008051004287879901,0.5487613861584357,-0.23469763602832153,0.2441860465116279,0.9090909090909092,0.2516482821588232,1.0838870431893688,2.2,6.360522701211568,62
AS Roy,LSG,246,12,0.16585365853658535,0.8634146341463415,0.21951219512195122,-0.2973851985290656,1.8885397009675773,1.1852520527661867,0.07317073170731707,0.20833333333333331,-0.3095360668846655,1.1219676549865227,1.2,6.3191226961520846,63
Suyash Sharma,MI,294,13,0.07346938775510203,0.7891156462585036,0.24489795918367346,-0.18072462255790017,2.4622208330808157,1.767783412163714,0.061224489795918366,0.38461538461538464,-0.4135604828049219,,0.6,5.7890420074902895,64
KK Ahmed,GT,341,15,0.24985337243401756,1.425219941348974,0.4222873900293255,-0.06027276948434876,-0.12291627859850933,-0.6486060228779167,0.14076246334310852,0.6666666666666666,-0.3383285391483079,1.0250281214848145,2.6,5.359694345197824,65
YS Chahal,RCB,373,17,0.15442359249329762,0.8974530831099197,0.16085790884718498,-0.20269372756052284,0.8884045548954695,0.4054830304811624,0.09651474530831099,0.29411764705882354,-0.33899430856119833,0.8890577507598784,1.8,5.044624276832326,66
Harshit Rana,SRH,228,10,0.20526315789473684,1.1289473684210527,0.2631578947368421,-0.234586237496896,0.9680850362657824,-0.061664511958628765,0.07894736842105263,0.5,-0.4135604828049219,1.1309523809523807,1.4,4.965541974431401,67
Avesh Khan,PBKS,276,12,0.2217391304347826,1.356521739130435,0.34782608695652173,-0.10944839943296991,-0.6551231287428502,-0.4570513582968842,0.13043478260869565,0.41666666666666663,0.34477750925374734,1.193877551020408,2.0,4.790220579598553,68
LS Livingstone,SRH,445,26,0.315505617977528,0.9384269662921348,0.25617977528089886,-0.25773584901684365,-0.6457110560011139,-2.4894412229191683,0.10786516853932585,0.576923076923077,0.06114248561991014,1.0865191146881288,4.8,4.749674077383878,69
VG Arora,KKR,234,11,0.1794871794871795,0.7519230769230769,0.1794871794871795,-0.3542178414667649,0.22294241568930787,0.5647254257148983,0.1282051282051282,0.6818181818181818,-0.11791214282103524,0.8948863636363636,1.4,4.531344966673515,70
Mohammed Siraj,RCB,429,20,0.18741258741258743,1.441841491841492,0.32167832167832167,-0.2866920678441293,-0.22095347656605363,-0.5566045996235582,0.11188811188811189,0.375,-0.4135604828049219,0.8833964049195836,2.6,4.443406290901433,71
