batter,team,runs,balls,num_innings,PPI,MDI,DFI,HOI,CCI,ERI,TBI,PVA,ORI,SAI,recent_form,RCI,BHI,DAI,BER,WR,partners,MIQ,score,rank
DP Conway,GT,987.0,633.0,27.0,0.043455951863824005,0.6286499989503957,-0.1356071645975908,0.26540284360189575,0.03319152757355015,0.4397191622110339,0.0,1.5740740740740742,0.23926174496644315,0.0,-0.0567423554764096,0.4170315574694458,0.1193053378740827,0.20080237816111213,0.2636275228080138,6.21,-0.6481481481481483,5.464025099781255,15.058049531112976,29
JP Inglis,GT,233.0,144.0,8.0,-0.31229018936990127,0.7406196863782357,0.515856057391908,0.2916666666666667,0.0,1.1000664758657084,0.0,1.5625,0.7529099105160455,-1.0,2.9093036757564095,0.32013598932095594,-0.01594405711903568,0.16596231378491977,0.3436059282712054,2.33,-2.1875,7.365484256675968,14.882376714139086,30
P Simran Singh,SRH,1036.0,630.0,32.0,0.1539444762703237,0.2337023742049249,-0.09145806816574753,0.2761904761904762,0.025557107419065694,1.3516045165396635,0.0,1.40625,0.6266388801326279,0.0,0.24725537339689385,0.3627806468636299,0.22844785836568748,0.10076047386931575,0.1953022521821728,4.78,-1.015625,5.41042591468932,14.291777281958353,31
T Stubbs,CSK,658.0,453.0,23.0,-0.17419212766655268,0.0100762012721205,0.19195519042782516,0.15894039735099338,0.0,0.8520047404622945,0.0,1.4130434782608694,0.42927048588964745,0.3687806103827136,-0.1584560730472966,0.34964862407557573,-0.1096875422533915,0.10577093821115802,0.22150127118441887,5.28,-1.3043478260869568,6.655818930041151,14.290127298504569,32
VR Iyer,SRH,809.0,524.0,29.0,0.016115013978227566,0.08300490482529965,0.16010150007161217,0.1946564885496183,0.04209835108711513,0.1717272068989511,0.26365020131591876,1.4655172413793103,0.0332641501592672,0.0,1.5215531745267368,0.31634873678818853,0.10251247153075749,0.18336802481836822,0.3863415729177424,4.12,-0.6034482758620691,5.626697530864196,14.083508293849242,33
Priyansh Arya,SRH,171.0,98.0,5.0,0.1881415031868221,0.1342383921261685,0.0,0.3673469387755102,0.34209636124855725,1.7321502514049099,0.0,1.5,0.2025239722252845,0.0,0.143580000096303,0.3543815358038689,0.16789056957301263,0.08445291129347399,0.0,1.71,-0.9999999999999998,7.495570875342683,13.422373311076594,34
Q de Kock,PBKS,783.0,479.0,27.0,0.11299168510642343,0.03147833266858413,0.2826474331777684,0.2881002087682672,-0.024937215357085263,1.5626865535106003,0.0,1.3888888888888888,0.3590090634441072,0.0,-0.6182028835059296,0.32979819724127746,0.24022338842617774,0.00010193398069713311,0.09735782279364891,4.46,-0.7407407407407407,5.497360245079568,13.266762913482252,35
PP Shaw,MI,546.0,363.0,15.0,0.009280042639015829,0.4110286628837483,-0.1449017112148211,0.21487603305785125,-0.24737341310375027,-1.1102298807386153,0.0,2.0,0.08862073564615436,0.0,-0.06503302247393616,0.40723941593832796,0.09603687980130293,0.057079502684025396,0.16550345868121097,5.46,-0.6666666666666665,6.563131534242998,13.238591571376844,36
MK Lomror,SRH,268.0,168.0,13.0,0.0,0.34641235708683293,0.04779649470859937,0.10714285714285714,-0.14839274534816405,0.8437385861420408,0.0,1.153846153846154,0.7586992765261016,0.0,0.5837546924692505,0.23244235594172688,0.13544916486265124,0.18663540445486526,0.1736945156055807,2.68,-0.9615384615384615,6.598060895425128,12.737741547325163,37
MP Stoinis,PBKS,462.0,327.0,21.0,-0.11580167204701597,-0.0411323131179544,0.06276501606157958,0.2018348623853211,0.024435667170384257,1.5420218106289711,0.0,1.3095238095238095,-0.3600695559122524,0.6507844534324534,-0.18643763019568926,0.28244749486974846,0.06669719708197697,-0.14522874338831904,-0.2641940826680105,3.54,-1.0714285714285716,6.974193548387096,12.470411290783527,38
RD Rickelton,RR,675.0,425.0,20.0,0.1303061621504238,-0.08924177690273916,0.2826474331777684,0.26823529411764707,0.1673779342779158,-1.5585503115612356,0.0,1.625,0.8353884308200019,0.0,0.2671907956435968,0.3646544355144663,0.11567899116857205,0.045107680951760765,0.11012348730887478,5.36,-1.125,5.496082143783092,12.295000700450146,39
SP Narine,LSG,321.0,209.0,12.0,-0.10365609061909042,0.03356634548775106,0.17576014707962107,0.20095693779904306,0.03578260350476903,0.33018264987018264,0.0,1.25,0.5935683327662975,0.0,0.8590745801775597,0.2980714732994367,0.01701475436501587,-0.008816362418355483,0.06086378664068093,3.21,-0.8333333333333331,5.76923076923077,11.88826659385035,40
RK Singh,RCB,557.0,391.0,23.0,-0.39902144896945624,0.03826437433087726,0.03439309127239376,0.13810741687979539,0.026659856996935627,0.1389607301688065,0.0,1.1956521739130435,0.33225127513133224,-0.4871124908639024,1.6054655171259629,0.2956622633882904,-0.08002481987598997,0.03017757122387832,0.11865019221196915,3.92,-0.7608695652173914,5.714832783871878,11.862048921588423,41
Azmatullah Omarzai,RR,175.0,102.0,8.0,0.0,0.005930881704656388,0.0038110346608621892,0.17647058823529413,0.0,0.9982006628789293,0.3400111296605455,0.9375,1.4517857142857142,0.0,0.8657537839022098,0.25098632336159676,-0.03820776623398969,0.16763754699438094,0.17032210070884046,1.75,0.0,4.64899074383852,11.729192743997562,42
H Klaasen,PBKS,823.0,584.0,29.0,-0.162833498001962,0.09271622670542379,-0.02922916872504533,0.18493150684931506,-0.05263786264807713,-0.9886434173926819,0.0,1.293103448275862,0.3413923654822817,0.7829989456997035,-0.15651380105348045,0.3268528882230521,-0.06675411107179352,0.04796552707455404,0.1333278491926193,3.5500000000000003,0.08620689655172376,5.924736790766307,11.307620585927802,43
