striker,bowler,runs_scored,balls_bowled,outs,h2h_factor_bat,h2h_factor_bowl
AK Markram,TA Boult,30,20,1,1.0309496315810696,0.9690503684189304
AK Markram,VG Arora,45,23,2,1.169328522078626,0.830671477921374
AK Markram,YS Chahal,23,22,2,0.8544155745455334,1.1455844254544667
AM Hardie,A Zampa,43,28,1,1.0498590770349387,0.9501409229650613
AM Hardie,CJ Boyce,35,29,1,0.9314430776470196,1.0685569223529803
AM Hardie,H Kerr,30,24,2,0.9350324669687755,1.0649675330312245
AM Hardie,KW Richardson,36,26,0,1.0044297491010115,0.9955702508989885
AM Hardie,MP Kuhnemann,55,38,1,1.027296620195288,0.972703379804712
AM Hardie,N McAndrew,30,23,1,0.9636885659661596,1.0363114340338404
AM Hardie,NT Ellis,52,31,1,1.083380951334426,0.9166190486655741
AM Hardie,PG Dooley,49,31,0,1.0745827611678302,0.9254172388321698
AM Hardie,SA Abbott,57,34,3,1.066981246129395,0.933018753870605
AM Hardie,SH Johnson,17,20,1,0.7760706889747314,1.2239293110252687
AM Hardie,TS Rogers,18,21,1,0.7799529028167309,1.220047097183269
AM Hardie,W Sutherland,16,20,0,0.7708992893275453,1.2291007106724547
AM Hardie,XC Bartlett,33,23,0,1.018048309388335,0.981951690611665
AM Rahane,A Kamboj,53,32,1,1.0937484693866841,0.9062515306133159
AM Rahane,A Sheth,54,24,0,1.2640072332523598,0.7359927667476402
AM Rahane,AR Patel,60,44,1,1.0018165319240662,0.9981834680759338
AM Rahane,Avesh Khan,64,30,1,1.2393546707863734,0.7606453292136266
AM Rahane,B Kumar,15,21,1,0.7119963311072636,1.2880036688927365
AM Rahane,C Sakariya,34,22,0,1.053577701940381,0.9464222980596191
AM Rahane,JD Unadkat,21,25,3,0.764198926981712,1.235801073018288
AM Rahane,Jagjit Singh,38,20,0,1.16128008188009,0.8387199181199101
AM Rahane,K Rabada,25,20,1,0.9411239481143202,1.05887605188568
AM Rahane,KH Pandya,41,37,3,0.8806046828541212,1.1193953171458788
AM Rahane,Kuldeep Yadav,39,22,0,1.1024084305855462,0.8975915694144538
AM Rahane,M Pathirana,33,28,0,0.933896817269511,1.066103182730489
AM Rahane,M Prasidh Krishna,37,30,1,0.9423375191511797,1.0576624808488204
AM Rahane,MG Bracewell,31,21,0,1.0296819401927877,0.9703180598072123
AM Rahane,MP Yadav,34,23,1,1.0259248213833385,0.9740751786166615
AM Rahane,Mohammed Shami,24,22,2,0.8727922053766485,1.1272077946233514
AM Rahane,Mohammed Siraj,46,47,1,0.8507032670868373,1.1492967329131627
AM Rahane,PJ Cummins,42,34,3,0.9290095928080677,1.0709904071919323
AM Rahane,PWH de Silva,22,23,2,0.8176014002491929,1.182398599750807
AM Rahane,R Ashwin,23,24,2,0.8187097863624901,1.1812902136375099
AM Rahane,RA Jadeja,59,43,1,1.0041376194546177,0.9958623805453823
AM Rahane,Shahbaz Ahmed,23,22,1,0.8620724048296821,1.1379275951703178
AM Rahane,Sikandar Raza,35,21,0,1.0912640115284398,0.9087359884715602
AM Rahane,Suryansh Shedge,33,30,2,0.8792854241614932,1.1207145758385066
AM Rahane,Suyash Sharma,30,20,0,1.0364775512695459,0.9635224487304541
AM Rahane,TU Deshpande,26,20,0,0.9680613912055667,1.0319386087944333
AM Rahane,Umran Malik,35,22,1,1.0634420957010733,0.9365579042989267
AM Rahane,Washington Sundar,39,25,2,1.0449880382090506,0.9550119617909494
AM Rahane,YS Chahal,38,26,1,1.0225587384724526,0.9774412615275474
AM Rossington,SM Curran,40,27,3,0.9974116161208416,1.0025883838791585
AR Patel,Avesh Khan,25,21,0,0.9296916320007645,1.0703083679992353
AR Patel,CV Varun,15,32,2,0.5744562646538028,1.425543735346197
AR Patel,JJ Bumrah,43,36,1,0.9317673938223403,1.0682326061776597
AR Patel,JO Holder,37,27,1,0.9909431133865626,1.0090568866134375
AR Patel,K Rabada,39,20,0,1.1759494644146673,0.8240505355853327
AR Patel,KH Pandya,19,20,0,0.834950811211569,1.165049188788431
AR Patel,LS Livingstone,32,23,1,0.9952932711779849,1.004706728822015
AR Patel,M Theekshana,52,27,1,1.1747610361530945,0.8252389638469055
AR Patel,Mohammed Siraj,34,21,0,1.076198904307495,0.9238010956925049
AR Patel,Noor Ahmad,36,22,2,1.0689477773256046,0.9310522226743954
AR Patel,PJ Cummins,25,21,0,0.9296916320007645,1.0703083679992353
AR Patel,PWH de Silva,73,37,0,1.1989441944757817,0.8010558055242183
