striker,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,pace_index
Naman Dhir,711,403,19,50,39,113,176.42679900744417,37.421052631578945,4.52808988764045,28.03970223325062,1.6737717923753765
Naveen-ul-Haq,285,231,22,31,10,117,123.37662337662337,12.954545454545455,5.634146341463414,50.64935064935065,0.8396453246942709
Nithish Kumar Reddy,607,474,29,42,27,186,128.0590717299578,20.93103448275862,6.869565217391305,39.24050632911393,0.8924080104566406
Noor Ahmad,139,134,18,7,7,74,103.73134328358209,7.722222222222222,9.571428571428571,55.223880597014926,0.7046104473651031
P Simran Singh,1787,1194,59,194,81,511,149.66499162479062,30.28813559322034,4.341818181818182,42.79731993299833,1.3002375158785655
PD Salt,3947,2414,117,432,173,925,163.50455675227838,33.73504273504273,3.990082644628099,38.31814415907208,1.61860060202599
PHKD Mendis,594,456,26,60,25,222,130.26315789473685,22.846153846153847,5.364705882352941,48.68421052631579,0.9279120870439376
PJ Cummins,611,387,27,41,39,154,157.8811369509044,22.62962962962963,4.8375,39.79328165374677,1.277125708532109
PN Mankad,416,256,14,50,15,91,162.5,29.714285714285715,3.9384615384615387,35.546875,1.5258238054746307
PP Shaw,1362,914,52,176,45,400,149.01531728665208,26.192307692307693,4.135746606334842,43.7636761487965,1.2410850285358468
PWH de Silva,1063,752,56,120,29,296,141.35638297872342,18.982142857142858,5.046979865771812,39.361702127659576,1.049126312045518
Priyansh Arya,651,368,16,74,34,152,176.90217391304347,40.6875,3.4074074074074074,41.30434782608695,1.6750023824464495
Q de Kock,3795,2548,113,374,189,1102,148.9403453689168,33.584070796460175,4.525754884547069,43.24960753532182,1.3049232048646777
R Ashwin,413,323,26,29,16,125,127.86377708978328,15.884615384615385,7.177777777777778,38.69969040247678,0.8650088797020852
R Parag,1425,981,59,116,79,413,145.2599388379205,24.152542372881356,5.030769230769231,42.09989806320082,1.0881695613398685
R Powell,2612,1656,93,179,175,696,157.72946859903382,28.086021505376344,4.677966101694915,42.028985507246375,1.3555189513720864
R Ravindra,752,561,32,73,29,252,134.04634581105168,23.5,5.5,44.919786096256686,0.9534703171002374
R Shepherd,1235,739,41,79,94,327,167.11772665764548,30.121951219512194,4.271676300578035,44.2489851150203,1.5477977212773049
R Tewatia,959,627,35,84,49,243,152.9505582137161,27.4,4.714285714285714,38.75598086124402,1.3122299679910818
RA Bawa,91,53,5,7,5,17,171.69811320754718,18.2,4.416666666666667,32.075471698113205,0.9168142993736244
RA Jadeja,1335,826,29,123,50,244,161.62227602905568,46.03448275862069,4.77456647398844,29.53995157384988,1.6601016037960206
RA Tripathi,1159,845,50,132,44,375,137.15976331360946,23.18,4.801136363636363,44.37869822485207,0.9923025655976732
RD Gaikwad,2655,1907,70,278,97,782,139.22391190351337,37.92857142857143,5.085333333333334,41.006816990036704,1.172742319324299
RD Rickelton,1668,1017,58,173,88,426,164.0117994100295,28.75862068965517,3.896551724137931,41.88790560471976,1.5645759524177973
RG Sharma,2804,1961,98,284,146,949,142.98827129015808,28.612244897959183,4.56046511627907,48.393676695563485,1.092845752397021
RK Bhui,295,165,7,27,16,56,178.78787878787878,42.142857142857146,3.8372093023255816,33.93939393939394,1.5472065757053446
RK Singh,1683,994,35,149,93,365,169.3158953722334,48.08571428571429,4.107438016528926,36.72032193158954,1.6730086391376886
RM Patidar,1247,873,41,125,46,341,142.84077892325314,30.414634146341463,5.105263157894737,39.06071019473082,1.1465888562972497
RR Pant,1883,1317,61,188,77,553,142.97646165527715,30.868852459016395,4.969811320754717,41.98936977980258,1.1356157314361401
RR Rossouw,3198,1890,98,325,165,708,169.20634920634922,32.63265306122449,3.857142857142857,37.46031746031746,1.648182452668703
Rahul Singh,182,95,3,23,7,29,191.57894736842104,60.666666666666664,3.1666666666666665,30.526315789473685,1.5084931761496916
Ramandeep Singh,416,260,20,25,26,87,160.0,20.8,5.098039215686274,33.46153846153846,1.2351905012785167
Rashid Khan,1389,963,89,107,84,457,144.23676012461058,15.606741573033707,5.041884816753926,47.455867082035304,0.9697944381908329
