wkt_prob,one_prob,two_prob,three_prob,four_prob,six_prob,dot_prob,wide_prob,no_prob,bowler,innings,phase,nrr_phase,wkt_phase,num_innings,runs,balls,wkts,economy,strike_rate
0.014705882352941176,0.5994809688581316,0.0,0.0,0.11418685121107268,0.05709342560553634,0.21453287197231835,0.0,0.0,AJ Turner,2,middle,easy,crucial,5,49.0,34,1,8.647058823529411,34.0
0.041666666666666664,0.32999999999999996,0.10999999999999999,0.0,0.10999999999999999,0.03666666666666666,0.33499999999999996,0.03666666666666666,0.0,AJ Turner,2,middle,easy,medium,3,34.0,24,2,8.5,12.0
0.02631578947368421,0.4986149584487535,0.0,0.04986149584487535,0.0997229916897507,0.0,0.3254847645429363,0.0,0.0,AJ Turner,2,middle,moderate,crucial,2,21.0,19,1,6.631578947368421,19.0
0.027777777777777776,0.4497354497354497,0.0,0.044973544973544964,0.13492063492063489,0.0,0.20767195767195762,0.13492063492063489,0.0,AJ Turner,2,pp,easy,crucial,4,28.0,18,1,9.333333333333334,18.0
0.027777777777777776,0.31481481481481477,0.08994708994708993,0.0,0.17989417989417986,0.044973544973544964,0.20767195767195762,0.13492063492063489,0.0,AJ Turner,2,pp,moderate,crucial,4,36.0,18,1,12.0,18.0
0.07142857142857142,0.6122448979591837,0.0,0.0,0.0,0.0,0.3163265306122449,0.0,0.0,AK Markram,2,death,crucial,crucial,2,5.0,7,0,4.285714285714286,7.0
0.08333333333333333,0.1388888888888889,0.0,0.0,0.0,0.1388888888888889,0.638888888888889,0.0,0.0,AK Markram,2,death,crucial,easy,1,7.0,6,1,7.0,6.0
0.1,0.15999999999999998,0.0,0.0,0.0,0.0,0.7399999999999999,0.0,0.0,AK Markram,2,death,crucial,medium,1,1.0,5,0,1.2,5.0
0.02,0.192,0.0768,0.0,0.1536,0.0768,0.4808,0.0,0.0,AK Markram,2,death,easy,easy,5,37.0,25,1,8.88,25.0
0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,AK Markram,2,death,easy,medium,1,0.0,1,0,0.0,1.0
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,AK Markram,2,death,moderate,easy,2,0.0,3,2,0.0,1.5
0.125,0.5625,0.1875,0.0,0.0,0.0,0.125,0.0,0.0,AK Markram,2,death,moderate,medium,1,5.0,4,0,7.5,4.0
0.016129032258064516,0.48896434634974534,0.08149405772495756,0.010186757215619695,0.07130730050933787,0.07130730050933787,0.24023769100169784,0.02037351443123939,0.0,AK Markram,2,middle,crucial,crucial,11,139.0,93,3,8.96774193548387,31.0
0.0625,0.4375,0.0,0.0,0.0,0.109375,0.390625,0.0,0.0,AK Markram,2,middle,crucial,medium,2,10.0,8,0,7.5,8.0
0.008620689655172414,0.6060344827586206,0.01637931034482758,0.0,0.06551724137931032,0.01637931034482758,0.25431034482758613,0.03275862068965516,0.0,AK Markram,2,middle,easy,crucial,7,63.0,58,1,6.517241379310345,58.0
0.05555555555555555,0.3950617283950617,0.0,0.0,0.09876543209876543,0.0,0.4506172839506173,0.0,0.0,AK Markram,2,middle,easy,easy,1,8.0,9,1,5.333333333333333,9.0
0.06666666666666667,0.28260869565217395,0.07536231884057973,0.018840579710144932,0.09420289855072464,0.05652173913043479,0.3869565217391305,0.0,0.018840579710144932,AK Markram,2,middle,easy,medium,10,65.0,45,6,8.666666666666666,7.5
0.022058823529411763,0.5264279624893436,0.06926683716965047,0.013853367433930095,0.04156010230179029,0.05541346973572038,0.2575660699062234,0.013853367433930095,0.0,AK Markram,2,middle,moderate,crucial,11,88.0,68,3,7.764705882352941,22.666666666666668
0.017241379310344827,0.4994054696789537,0.033293697978596916,0.0,0.06658739595719383,0.0,0.38347205707491083,0.0,0.0,AK Markram,2,middle,moderate,medium,6,25.0,29,1,5.172413793103448,29.0
0.011111111111111112,0.33286052009456263,0.08321513002364066,0.0,0.14562647754137115,0.06241134751773049,0.32316784869976356,0.04160756501182033,0.0,AK Markram,2,pp,crucial,crucial,8,72.0,45,1,9.6,45.0
0.03125,0.26785714285714285,0.09566326530612244,0.019132653061224487,0.038265306122448974,0.038265306122448974,0.4904336734693877,0.019132653061224487,0.0,AK Markram,2,pp,easy,crucial,6,48.0,48,3,6.0,16.0
0.018518518518518517,0.2297979797979798,0.03282828282828283,0.0,0.13131313131313133,0.10942760942760943,0.4015151515151515,0.0765993265993266,0.0,AK Markram,2,pp,moderate,crucial,12,142.0,81,3,10.518518518518519,27.0
0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AM Hardie,2,death,crucial,crucial,2,2.0,2,0,6.0,2.0
0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,AM Hardie,2,death,crucial,easy,1,6.0,2,0,18.0,2.0
0.14285714285714285,0.3673469387755102,0.0,0.0,0.24489795918367346,0.12244897959183673,0.12244897959183673,0.0,0.0,AM Hardie,2,death,crucial,medium,1,17.0,7,0,14.571428571428571,7.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AM Hardie,2,death,easy,crucial,1,1.0,1,0,6.0,1.0
0.04,0.3911111111111111,0.035555555555555556,0.0,0.035555555555555556,0.0,0.42666666666666664,0.07111111111111111,0.0,AM Hardie,2,death,easy,easy,5,19.0,25,1,4.56,25.0
0.037037037037037035,0.24074074074074076,0.24074074074074076,0.0,0.17195767195767198,0.0687830687830688,0.20634920634920637,0.0343915343915344,0.0,AM Hardie,2,death,easy,medium,5,54.0,27,1,12.0,27.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AM Hardie,2,death,moderate,easy,1,6.0,1,0,36.0,1.0
0.05405405405405406,0.34850640113798004,0.024893314366998574,0.0,0.17425320056899002,0.024893314366998574,0.34850640113798004,0.024893314366998574,0.0,AM Hardie,2,middle,crucial,crucial,6,51.0,37,2,8.27027027027027,18.5
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AM Hardie,2,middle,crucial,medium,1,0.0,1,1,0.0,1.0
0.09090909090909091,0.4132231404958678,0.08264462809917357,0.0,0.08264462809917357,0.0,0.3305785123966943,0.0,0.0,AM Hardie,2,middle,easy,crucial,3,11.0,11,0,6.0,11.0
0.09090909090909091,0.6611570247933886,0.16528925619834714,0.0,0.0,0.0,0.08264462809917357,0.0,0.0,AM Hardie,2,middle,easy,easy,2,12.0,11,0,6.545454545454546,11.0
0.05555555555555555,0.2623456790123457,0.10493827160493827,0.0,0.05246913580246913,0.05246913580246913,0.4722222222222222,0.0,0.0,AM Hardie,2,middle,easy,medium,2,19.0,18,1,6.333333333333333,18.0
0.049180327868852465,0.3417008196721312,0.0891393442622951,0.0,0.05942622950819673,0.05942622950819673,0.3565573770491804,0.04456967213114755,0.0,AM Hardie,2,middle,moderate,crucial,7,78.0,61,3,7.672131147540983,20.333333333333332
0.2,0.0,0.0,0.13333333333333336,0.13333333333333336,0.0,0.4,0.13333333333333336,0.0,AM Hardie,2,pp,crucial,crucial,1,8.0,5,0,9.6,5.0
0.05555555555555555,0.36728395061728397,0.05246913580246913,0.0,0.10493827160493827,0.0,0.41975308641975306,0.0,0.0,AM Hardie,2,pp,easy,crucial,4,17.0,18,0,5.666666666666667,18.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AM Hardie,2,pp,easy,medium,1,0.0,1,0,0.0,1.0
0.025,0.35670731707317066,0.04756097560975609,0.023780487804878046,0.04756097560975609,0.14268292682926825,0.3329268292682926,0.023780487804878046,0.0,AM Hardie,2,pp,moderate,crucial,8,67.0,40,1,10.05,40.0
0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,AM Hardie,2,pp,moderate,medium,1,4.0,2,1,12.0,2.0
