bowler,batter_order,runs_conceded,balls,wkts,eco,SR,Curr_Tm
A Nagwaswalla,top,46,38,5,7.26,7.6,RR
K Kartikeya,middle,145,95,5,9.16,19.0,GT
GD Phillips,top,243,131,5,11.13,26.2,GT
KK Ahmed,middle,161,104,5,9.29,20.8,RR
GF Linde,middle,184,121,5,9.12,24.2,GT
A Kamboj,top,227,120,5,11.35,24.0,GT
Shashank Singh,tail,78,53,5,8.83,10.6,PBKS
Arshad Khan,middle,315,196,5,9.64,39.2,RR
MJ Santner,top,214,127,5,10.11,25.4,KKR
Azmatullah Omarzai,middle,240,151,5,9.54,30.2,LSG
S Dube,middle,175,96,5,10.94,19.2,RR
Baltej Singh,top,83,59,5,8.44,11.8,
PHKD Mendis,tail,98,64,5,9.19,12.8,SRH
Ashwani Kumar,top,196,94,5,12.51,18.8,RR
SS Ghosh,tail,8,14,5,3.43,2.8,MI
SS Ghosh,top,157,102,5,9.24,20.4,MI
GF Linde,top,193,128,5,9.05,25.6,GT
Atharva Ankolekar,top,184,103,5,10.72,20.6,MI
Atharva Ankolekar,middle,124,64,5,11.62,12.8,MI
Sandeep Sharma,tail,69,42,4,9.86,10.5,LSG
M Markande,top,388,251,4,9.27,62.75,SRH
MM Ali,middle,136,95,4,8.59,23.75,
Rashid Khan,tail,63,58,4,6.52,14.5,RR
M Markande,tail,35,39,4,5.38,9.75,SRH
R Tewatia,middle,176,103,4,10.25,25.75,KKR
SA Abbott,top,153,84,4,10.93,21.0,
Naveen-ul-Haq,tail,104,59,4,10.58,14.75,SRH
PP Chawla,top,182,114,4,9.58,28.5,
TA Boult,tail,33,36,4,5.5,9.0,MI
Mohammad Ghazanfar,tail,50,41,4,7.32,10.25,SRH
M Siddharth,tail,24,22,4,6.55,5.5,CSK
SS Ghosh,middle,133,78,4,10.23,19.5,MI
Swapnil Singh,tail,47,40,4,7.05,10.0,
VG Arora,top,400,242,4,9.92,60.5,KKR
Zeeshan Ansari,top,104,68,4,9.18,17.0,SRH
Avesh Khan,tail,78,50,4,9.36,12.5,GT
Harsh Dubey,tail,60,34,4,10.59,8.5,RCB
JD Unadkat,top,223,126,4,10.62,31.5,
Abdul Samad,top,125,91,4,8.24,22.75,LSG
Abhishek Sharma,top,376,224,4,10.07,56.0,MI
Cheepurapalli Stephen,top,191,110,4,10.42,27.5,CSK
DJ Bravo,middle,176,93,4,11.35,23.25,RCB
DAJ Bracewell,tail,31,29,4,6.41,7.25,RCB
CH Gayle,middle,68,32,4,12.75,8.0,CSK
A Sheth,top,208,124,4,10.06,31.0,DC
GD Phillips,middle,157,97,4,9.71,24.25,GT
Harshit Rana,middle,160,113,4,8.5,28.25,KKR
Akash Deep,top,165,118,4,8.39,29.5,
Ashutosh Sharma,middle,203,134,4,9.09,33.5,RCB
K Kartikeya,top,127,97,4,7.86,24.25,GT
HR Shokeen,top,165,104,4,9.52,26.0,RR
GJ Maxwell,tail,72,53,4,8.15,13.25,RR
Atharva Ankolekar,tail,10,16,4,3.75,4.0,MI
K Rabada,top,259,171,4,9.09,42.75,
Shaheen Shah Afridi,tail,4,7,3,3.43,2.33,MI
MG Bracewell,middle,114,70,3,9.77,23.33,
DS Airee,middle,136,83,3,9.83,27.67,RCB
SL Malinga,tail,66,42,3,9.43,14.0,PBKS
MA Wood,middle,115,67,3,10.3,22.33,
N Rana,middle,96,71,3,8.11,23.67,PBKS
I Sharma,middle,129,69,3,11.22,23.0,RCB
Imran Tahir,middle,169,101,3,10.04,33.67,CSK
Bilal Zalmai,middle,145,101,3,8.61,33.67,
S Lamichhane,top,182,102,3,10.71,34.0,DC
Sami Sohail,top,39,39,3,6.0,13.0,
AR Ramjani,middle,26,21,3,7.43,7.0,PBKS
S Dube,tail,24,18,3,8.0,6.0,RR
AJ Turner,top,66,54,3,7.33,18.0,
SM Curran,tail,18,25,3,4.32,8.33,
MJ Owen,tail,44,37,3,7.14,12.33,DC
HJ Manenti,tail,7,6,3,7.0,2.0,PBKS
MJ Santner,middle,180,120,3,9.0,40.0,KKR
Sikandar Raza,tail,43,30,3,8.6,10.0,MI
SN Thakur,middle,61,38,3,9.63,12.67,GT
SZ Mulani,middle,176,122,3,8.66,40.67,LSG
Shivank Vashisth,top,44,32,3,8.25,10.67,RCB
Shadab Khan,top,26,22,3,7.09,7.33,SRH
Harshit Rana,tail,7,14,3,3.0,4.67,KKR
G Coetzee,top,100,77,3,7.79,25.67,
MM Ali,top,255,165,3,9.27,55.0,
Mohammed Siraj,tail,12,16,3,4.5,5.33,
R Parag,top,256,158,3,9.72,52.67,GT
Mohammed Siraj,middle,287,181,3,9.51,60.33,
Shahbaz Ahmed,tail,19,24,3,4.75,8.0,GT
Mohammed Shami,middle,315,191,3,9.9,63.67,GT
Umran Malik,middle,78,49,3,9.55,16.33,
KA Maharaj,tail,36,32,3,6.75,10.67,SRH
RS Hangargekar,top,137,95,3,8.65,31.67,MI
LH Ferguson,top,123,77,3,9.58,25.67,
JR Hazlewood,tail,18,12,3,9.0,4.0,RR
Jagjit Singh,tail,23,35,3,3.94,11.67,SRH
RS Hangargekar,middle,187,132,3,8.5,44.0,MI
D Wiese,tail,19,17,3,6.71,5.67,GT
A Nortje,tail,63,42,3,9.0,14.0,
