bowler,phase,pitch,runs_conceded,balls,wkts,dots,eco,SR,Curr_Tm
S Dube,Middle,pace,176,90,5,19,11.73,18.0,RR
TA Boult,PP,neutralish,197,138,5,51,8.57,27.6,MI
MG Bracewell,PP,spin,87,78,5,41,6.69,15.6,
M Siddharth,Middle,spin,312,222,4,61,8.43,55.5,CSK
Mohammed Shami,PP,spin,122,66,4,18,11.09,16.5,GT
Harshit Rana,Middle,pace,174,138,4,47,7.57,34.5,KKR
HH Pandya,PP,pace,263,186,4,83,8.48,46.5,MI
MR Marsh,Middle,pace,99,66,4,19,9.0,16.5,SRH
Harsh Dubey,Middle,spin,179,102,4,21,10.53,25.5,RCB
Mujeeb Ur Rahman,Death,spin,80,54,4,17,8.89,13.5,
Harsh Dubey,Death,pace,56,24,4,6,14.0,6.0,RCB
Mujeeb Ur Rahman,PP,spin,173,114,4,42,9.11,28.5,
M Pathirana,PP,spin,209,120,4,34,10.45,30.0,RCB
M Theekshana,Death,pace,86,61,4,25,8.46,15.25,
HV Patel,Death,pace,227,107,4,27,12.73,26.75,RR
JR Hazlewood,Death,neutralish,81,42,4,10,11.57,10.5,RR
Harpreet Brar,Middle,pace,318,216,4,58,8.83,54.0,RR
M Prasidh Krishna,PP,pace,253,156,4,51,9.73,39.0,MI
M Markande,Death,spin,181,120,4,37,9.05,30.0,SRH
HH Pandya,Middle,spin,195,89,4,17,13.15,22.25,MI
Mohammad Nabi,PP,spin,221,138,4,36,9.61,34.5,LSG
Mayank Dagar,Death,neutralish,46,24,4,4,11.5,6.0,LSG
GD Phillips,Middle,spin,230,132,4,28,10.45,33.0,GT
Kuldeep Yadav,Death,spin,145,102,4,34,8.53,25.5,SRH
Khrievitso Kense,PP,spin,195,144,4,57,8.12,36.0,RCB
Mayank Dagar,Middle,neutralish,143,84,4,15,10.21,21.0,LSG
Karan Lal,Death,neutralish,123,64,4,15,11.53,16.0,RR
KC Cariappa,Middle,spin,70,54,4,19,7.78,13.5,MI
GF Linde,PP,neutralish,85,48,4,19,10.62,12.0,GT
Mohammad Ghazanfar,PP,spin,97,54,4,19,10.78,13.5,SRH
JJ Bumrah,Middle,neutralish,119,84,4,13,8.5,21.0,DC
M Jansen,Middle,pace,156,123,4,39,7.61,30.75,
GJ Maxwell,Middle,neutralish,195,126,4,19,9.29,31.5,RR
MJ Owen,Middle,pace,195,96,4,14,12.19,24.0,DC
M Jansen,PP,pace,185,120,4,49,9.25,30.0,
MR Marsh,PP,pace,54,42,4,17,7.71,10.5,SRH
M Pathirana,Middle,neutralish,64,42,4,11,9.14,10.5,RCB
JJ Bumrah,PP,spin,143,84,4,28,10.21,21.0,DC
MA Starc,Death,neutralish,62,41,4,11,9.07,10.25,KKR
M Pathirana,Death,neutralish,142,70,4,16,12.17,17.5,RCB
PWH de Silva,PP,spin,186,126,4,38,8.86,31.5,RCB
B Kumar,Middle,neutralish,76,48,4,12,9.5,12.0,KKR
CJ Jordan,Middle,pace,95,78,4,20,7.31,19.5,
R Ashwin,Middle,spin,125,108,4,34,6.94,27.0,KKR
CH Morris,Middle,pace,226,144,4,30,9.42,36.0,DC
A Zampa,Middle,neutralish,82,66,4,21,7.45,16.5,RR
C Green,Middle,neutralish,73,48,4,9,9.12,12.0,KKR
V Puthur,Middle,spin,94,54,4,15,10.44,13.5,DC
RA Jadeja,Middle,spin,356,234,4,52,9.13,58.5,RCB
AJ Turner,Middle,spin,85,66,4,17,7.73,16.5,
RA Jadeja,PP,neutralish,224,144,4,44,9.33,36.0,RCB
Suryansh Shedge,Death,neutralish,106,61,4,15,10.43,15.25,CSK
Rashid Khan,Middle,pace,158,120,4,30,7.9,30.0,RR
AJ Tye,PP,pace,123,60,4,20,12.3,15.0,
Tanush Kotian,Middle,pace,177,108,4,21,9.83,27.0,CSK
Rasikh Salam,PP,pace,127,78,4,29,9.77,19.5,GT
