striker,match_id,batting_team,balls,bowling_team
D Padikkal,M068,KKR,42,LSG
AM Rahane,S02M050,KKR,42,DC
H Klaasen,M027,PBKS,42,SRH
AM Rahane,S02M040,KKR,43,CSK
F du Plessis,M030,CSK,43,GT
Tilak Varma,M041,CSK,43,DC
RD Rickelton,S02M005,RR,44,GT
N Pooran,M002,MI,44,KKR
Tilak Varma,S02M012,CSK,44,SRH
F du Plessis,S02M040,CSK,44,KKR
P Simran Singh,S02M022,SRH,44,CSK
B Sai Sudharsan,M029,MI,46,KKR
F du Plessis,S02M066,CSK,49,LSG
