bowler,opposition,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
Shashank Singh,KKR,198,7,51,9.0,18.86,22.0,PBKS
SL Malinga,GT,194,7,27,10.21,16.29,19.0,PBKS
AR Patel,SRH,283,7,42,9.65,25.14,29.2,CSK
R Sai Kishore,DC,295,7,39,11.35,22.29,26.0,MI
A Nagwaswalla,DC,161,6,31,10.17,15.83,15.5,RR
Shahbaz Ahmed,MI,215,6,24,11.32,19.0,19.0,LSG
Shakib Al Hasan,CSK,175,6,47,8.9,19.67,19.4,
Arshdeep Singh,GT,429,6,81,8.94,48.0,48.0,LSG
M Prasidh Krishna,CSK,172,6,46,7.17,24.0,24.0,RR
CV Varun,MI,162,6,32,8.53,19.0,19.0,PBKS
JJ Bumrah,SRH,205,6,33,8.91,23.0,23.0,DC
JJ Smit,CSK,124,6,35,8.27,15.0,15.0,PBKS
M Prasidh Krishna,GT,339,6,36,10.94,31.0,31.0,RR
DAJ Bracewell,LSG,77,6,14,9.62,8.0,8.0,
KA Maharaj,PBKS,151,6,45,7.95,19.0,19.0,SRH
Shahbaz Ahmed,LSG,69,6,17,8.62,8.0,8.0,LSG
SH Johnson,RR,148,6,23,10.57,14.0,14.0,GT
SH Johnson,CSK,170,6,27,10.97,15.5,15.3,GT
Mustafizur Rahman,PBKS,101,6,20,8.42,12.0,12.0,
KA Maharaj,LSG,109,6,32,7.79,14.0,14.0,SRH
Suryansh Shedge,SRH,140,6,37,7.78,18.0,18.0,CSK
MA Starc,SRH,195,6,29,12.32,15.83,15.5,KKR
NT Ellis,PBKS,196,6,34,9.8,20.0,20.0,SRH
Harsh Dubey,LSG,63,6,11,10.5,6.0,6.0,RCB
Arshad Khan,DC,106,6,26,9.64,11.0,11.0,DC
NT Ellis,SRH,84,6,14,10.5,8.0,8.0,SRH
SH Johnson,PBKS,55,6,20,7.33,7.5,7.3,GT
Shashank Singh,CSK,131,6,47,7.86,16.67,16.4,PBKS
Harsh Dubey,PBKS,152,6,19,10.13,15.0,15.0,RCB
M Prasidh Krishna,MI,238,6,48,8.55,27.83,27.5,RR
Rasikh Salam,DC,253,6,27,10.84,23.33,23.2,MI
Mohammed Shami,PBKS,164,6,36,8.63,19.0,19.0,LSG
HH Pandya,GT,329,6,34,11.22,29.33,29.2,MI
Ravi Bishnoi,SRH,310,6,61,8.86,35.0,35.0,GT
S Lamichhane,CSK,129,6,24,11.91,10.83,10.5,DC
Ravi Teja,LSG,114,6,14,9.5,12.0,12.0,RCB
Fazalhaq Farooqi,RCB,151,6,34,9.44,16.0,16.0,CSK
Fazalhaq Farooqi,RR,169,6,33,8.89,19.0,19.0,CSK
MJ Owen,PBKS,119,6,15,9.92,12.0,12.0,DC
S Dube,DC,175,6,15,11.67,15.0,15.0,RR
Mohammed Shami,KKR,147,6,34,9.19,16.0,16.0,LSG
AR Patel,RR,211,6,35,8.98,23.5,23.3,CSK
AR Ramjani,CSK,74,6,21,7.4,10.0,10.0,PBKS
MG Bracewell,KKR,94,6,41,6.71,14.0,14.0,
GF Linde,PBKS,121,6,39,7.56,16.0,16.0,GT
GJ Maxwell,DC,250,6,28,11.36,22.0,22.0,DC
GJ Maxwell,PBKS,239,6,30,9.96,24.0,24.0,DC
AK Markram,SRH,91,6,20,8.4,10.83,10.5,DC
T Natarajan,MI,179,6,26,8.95,20.0,20.0,CSK
T Natarajan,KKR,149,6,30,9.03,16.5,16.3,CSK
Swapnil Singh,SRH,265,6,25,13.25,20.0,20.0,CSK
A Nortje,KKR,108,6,21,9.82,11.0,11.0,
Swapnil Singh,RCB,126,6,18,10.5,12.0,12.0,CSK
M Theekshana,RR,169,6,34,9.94,17.0,17.0,
KH Pandya,CSK,150,6,29,9.38,16.0,16.0,RR
HJ Manenti,RR,72,6,21,9.0,8.0,8.0,CSK
MP Yadav,RCB,175,6,51,8.54,20.5,20.3,PBKS
