striker,runs,balls,outs,fours,sixes,dots,SR,Bat_avg,bpb,dot_%,bowling_type
CV Varun,9,22,1,0,0,14,40.91,9.0,inf,63.64,spin
Mohammad Nabi,9,10,0,0,0,2,90.0,inf,inf,20.0,spin
Sandeep Sharma,9,11,1,0,0,5,81.82,9.0,inf,45.45,spin
LH Ferguson,9,20,2,0,1,18,45.0,4.5,20.0,90.0,pace
MADI Hemantha,9,3,0,0,1,2,300.0,inf,3.0,66.67,pace
R Ahir,9,9,0,1,0,3,100.0,inf,9.0,33.33,pace
Ravi Bishnoi,9,13,1,0,1,9,69.23,9.0,13.0,69.23,pace
Sameer Rizvi,9,11,1,0,0,3,81.82,9.0,inf,27.27,pace
Shakib Al Hasan,9,6,0,0,1,3,150.0,inf,6.0,50.0,pace
JD Unadkat,8,8,0,1,0,3,100.0,inf,8.0,37.5,spin
MM Sharma,8,3,0,0,1,1,266.67,inf,3.0,33.33,spin
MP Yadav,8,5,0,1,0,1,160.0,inf,5.0,20.0,spin
Mayank Dagar,8,11,0,1,0,7,72.73,inf,11.0,63.64,spin
SB Dubey,8,11,2,0,0,3,72.73,4.0,inf,27.27,spin
VG Arora,8,6,0,1,0,3,133.33,inf,6.0,50.0,spin
Ayush Mhatre,8,7,1,1,0,2,114.29,8.0,7.0,28.57,pace
Mohammad Nabi,8,5,1,0,1,2,160.0,8.0,5.0,40.0,pace
HR Shokeen,7,8,0,1,0,4,87.5,inf,8.0,50.0,spin
Mohammed Siraj,7,6,2,1,0,4,116.67,3.5,6.0,66.67,spin
NT Ellis,7,10,1,0,0,5,70.0,7.0,inf,50.0,spin
PN Mankad,7,13,1,0,0,6,53.85,7.0,inf,46.15,spin
R Ravindra,7,4,1,1,0,3,175.0,7.0,4.0,75.0,spin
Rasikh Salam,7,6,1,1,0,3,116.67,7.0,6.0,50.0,spin
V Shankar,7,7,1,1,0,3,100.0,7.0,7.0,42.86,spin
AJ Hosein,7,7,2,1,0,3,100.0,3.5,7.0,42.86,pace
JO Holder,7,4,0,1,0,1,175.0,inf,4.0,25.0,pace
K Rabada,7,14,0,0,0,8,50.0,inf,inf,57.14,pace
M Prasidh Krishna,7,6,0,0,0,1,116.67,inf,inf,16.67,pace
T Natarajan,7,5,2,1,0,3,140.0,3.5,5.0,60.0,pace
J Anderson,6,4,1,1,0,2,150.0,6.0,4.0,50.0,spin
M Pathirana,6,10,3,1,0,7,60.0,2.0,10.0,70.0,spin
Kuldeep Yadav,6,4,0,1,0,2,150.0,inf,4.0,50.0,pace
DS Rathi,5,3,0,0,0,0,166.67,inf,inf,0.0,spin
Kuldeep Yadav,5,15,3,0,0,10,33.33,1.67,inf,66.67,spin
Yash Thakur,5,6,0,0,0,1,83.33,inf,inf,16.67,spin
D Ferreira,5,11,3,0,0,6,45.45,1.67,inf,54.55,pace
JD Unadkat,5,3,0,1,0,1,166.67,inf,3.0,33.33,pace
Vaibhav Suryavanshi,5,4,1,1,0,4,125.0,5.0,4.0,100.0,pace
Aryan Juyal,4,10,2,0,0,7,40.0,2.0,inf,70.0,spin
Fazalhaq Farooqi,4,6,1,0,0,2,66.67,4.0,inf,33.33,spin
V Puthur,4,2,0,1,0,1,200.0,inf,2.0,50.0,spin
A Nortje,4,3,1,1,0,2,133.33,4.0,3.0,66.67,pace
KD Karthik,4,5,1,0,0,2,80.0,4.0,inf,40.0,pace
PP Chawla,4,5,1,1,0,4,80.0,4.0,5.0,80.0,pace
V Shankar,4,8,1,0,0,4,50.0,4.0,inf,50.0,pace
A Raghuvanshi,3,3,1,0,0,2,100.0,3.0,inf,66.67,spin
J Overton,3,5,0,0,0,2,60.0,inf,inf,40.0,spin
MR Marsh,3,8,2,0,0,5,37.5,1.5,inf,62.5,spin
SN Thakur,3,2,0,0,0,1,150.0,inf,inf,50.0,pace
SZ Mulani,3,7,1,0,0,4,42.86,3.0,inf,57.14,pace
Cheepurapalli Stephen,2,4,1,0,0,3,50.0,2.0,inf,75.0,spin
Imran Tahir,2,8,2,0,0,6,25.0,1.0,inf,75.0,spin
LH Ferguson,2,3,0,0,0,1,66.67,inf,inf,33.33,spin
PP Chawla,2,2,0,0,0,0,100.0,inf,inf,0.0,spin
Suyash Sharma,2,4,0,0,0,3,50.0,inf,inf,75.0,spin
M Markande,2,4,0,0,0,2,50.0,inf,inf,50.0,pace
Yash Thakur,2,9,1,0,0,7,22.22,2.0,inf,77.78,pace
D Ferreira,1,2,0,0,0,1,50.0,inf,inf,50.0,spin
JO Holder,1,1,0,0,0,0,100.0,inf,inf,0.0,spin
KV Sharma,1,4,1,0,0,3,25.0,1.0,inf,75.0,spin
Mujeeb Ur Rahman,1,5,1,0,0,4,20.0,1.0,inf,80.0,spin
