striker,bowler,runs_scored,balls_bowled,outs,4s,6s,bat_sr,bowl_eco,dot%
AR Patel,LS Livingstone,25,20,2,5,0,125.0,7.5,50.0
P Simran Singh,Shashank Singh,24,32,2,3,0,75.0,4.5,62.5
Q de Kock,T Natarajan,24,24,2,2,0,100.0,6.25,41.67
RG Sharma,Rasikh Salam,24,23,2,3,0,104.35,6.26,39.13
Tilak Varma,KK Ahmed,24,22,2,1,2,109.09,6.82,54.55
WG Jacks,HH Pandya,24,20,2,2,1,120.0,7.2,35.0
RG Sharma,KH Pandya,23,23,2,2,0,100.0,6.26,39.13
Nithish Kumar Reddy,JJ Bumrah,23,22,2,2,0,104.55,6.27,36.36
MP Stoinis,JJ Bumrah,22,25,2,2,0,88.0,5.52,44.0
JM Sharma,HH Pandya,22,21,2,2,0,104.76,6.29,28.57
V Suryavanshi,Mohammed Shami,21,22,2,3,0,95.45,6.27,59.09
Tilak Varma,SH Johnson,20,20,2,2,1,100.0,6.9,75.0
N Wadhera,Suryansh Shedge,18,20,2,1,1,90.0,5.4,50.0
B Sai Sudharsan,JJ Smit,17,20,2,1,0,80.95,5.7,52.38
BM Duckett,SP Narine,14,20,2,1,0,70.0,4.2,45.0
SA Yadav,DS Rathi,12,22,2,0,0,54.55,3.27,50.0
Tilak Varma,B Kumar,105,57,1,6,9,181.03,11.47,36.21
P Simran Singh,GJ Maxwell,100,53,1,7,7,188.68,11.43,24.53
YBK Jaiswal,Suryansh Shedge,96,40,1,9,5,240.0,14.55,12.5
GJ Maxwell,MA Starc,87,46,1,10,5,189.13,11.61,41.3
Shubman Gill,M Prasidh Krishna,83,53,1,9,1,156.6,9.4,18.87
RD Gaikwad,Arshdeep Singh,80,49,1,13,0,163.27,10.16,30.61
N Rana,Fazalhaq Farooqi,80,47,1,6,5,170.21,10.72,40.43
SV Samson,B Kumar,80,42,1,14,1,190.48,11.57,30.95
Sameer Rizvi,M Pathirana,80,34,1,10,3,235.29,14.65,20.59
JC Buttler,Sandeep Sharma,78,41,1,10,3,190.24,12.29,46.34
V Suryavanshi,Kuldeep Yadav,78,39,1,9,3,200.0,12.0,20.51
TM Head,TA Boult,76,46,1,11,2,165.22,9.91,28.26
KL Rahul,Washington Sundar,76,42,1,7,3,180.95,10.86,14.29
KL Rahul,M Pathirana,75,41,1,7,5,182.93,11.12,34.15
V Kohli,R Ashwin,75,39,1,7,3,192.31,11.69,25.64
N Pooran,AD Russell,74,38,1,7,4,194.74,11.84,15.79
PD Salt,R Sai Kishore,72,44,1,2,4,163.64,9.95,22.73
SA Yadav,TA Boult,71,46,1,11,1,154.35,10.04,50.0
Ishan Kishan,BA Stokes,69,43,1,7,3,160.47,9.91,39.53
KL Rahul,GJ Maxwell,69,38,1,6,3,181.58,10.89,21.05
SA Yadav,HH Pandya,68,40,1,7,2,170.0,10.5,25.0
P Simran Singh,JR Hazlewood,68,39,1,3,4,174.36,10.62,20.51
VR Iyer,CV Varun,68,34,1,6,3,200.0,12.0,11.76
N Sindhu,TA Boult,68,28,1,9,4,242.86,14.57,32.14
AM Rahane,AR Patel,67,42,1,4,4,159.52,10.14,40.48
TM Head,SH Johnson,67,27,1,7,5,239.29,15.33,28.57
YBK Jaiswal,HH Pandya,67,26,1,7,4,257.69,15.46,11.54
V Kohli,Arshdeep Singh,66,45,1,7,2,146.67,9.2,37.78
SV Samson,MA Starc,66,35,1,9,3,188.57,11.31,34.29
Smaran Ravichandran,YS Chahal,66,22,1,7,5,300.0,18.0,18.18
SA Yadav,Rasikh Salam,65,31,1,8,2,209.68,12.77,16.13
P Simran Singh,Sikandar Raza,65,29,1,6,4,224.14,13.45,13.79
PD Salt,Washington Sundar,64,42,1,8,1,152.38,9.29,28.57
V Kohli,T Natarajan,64,42,1,5,3,152.38,9.29,33.33
P Simran Singh,AR Patel,64,40,1,9,2,160.0,9.6,32.5
B Sai Sudharsan,SP Narine,63,45,1,4,1,140.0,8.53,17.78
Shubman Gill,Washington Sundar,63,40,1,8,1,157.5,9.45,20.0
GJ Maxwell,M Prasidh Krishna,62,41,1,7,0,151.22,9.07,24.39
Abhishek Sharma,Washington Sundar,62,35,1,8,1,177.14,10.63,11.43
DP Conway,Arshdeep Singh,61,43,1,4,3,141.86,8.79,34.88
Smaran Ravichandran,AR Patel,61,35,1,5,2,174.29,10.63,22.86
VR Iyer,T Natarajan,61,33,1,8,2,184.85,11.27,27.27
RD Rickelton,M Pathirana,61,30,1,2,5,203.33,12.2,13.33
YBK Jaiswal,Mohammad Nabi,61,27,1,5,4,225.93,14.0,18.52
N Rana,M Prasidh Krishna,59,35,1,9,0,168.57,10.46,25.71
GJ Maxwell,M Pathirana,58,38,1,5,1,152.63,9.32,23.68
V Kohli,M Pathirana,58,30,1,8,2,193.33,11.6,23.33
JC Buttler,SP Narine,58,29,1,7,1,200.0,12.0,13.79
KL Rahul,JJ Bumrah,57,38,1,3,3,150.0,9.16,18.42
Abhishek Sharma,Sandeep Sharma,57,31,1,3,4,183.87,11.03,25.81
FH Allen,Arshdeep Singh,57,31,1,8,1,183.87,11.23,29.03
Tilak Varma,SP Narine,57,31,1,7,2,183.87,11.61,32.26
JM Sharma,SP Narine,57,30,1,5,4,190.0,11.4,30.0
RD Gaikwad,Arshad Khan,57,29,1,6,2,196.55,11.79,13.79
P Simran Singh,Swapnil Singh,57,28,1,5,3,203.57,12.43,25.0
B Sai Sudharsan,Rashid Khan,56,39,1,6,1,143.59,8.92,33.33
V Suryavanshi,B Kumar,56,32,1,7,1,175.0,10.69,28.12
Tilak Varma,LS Livingstone,56,30,1,3,3,180.65,11.6,16.13
YBK Jaiswal,KH Pandya,56,28,1,6,2,200.0,12.43,25.0
Naman Dhir,M Pathirana,56,27,1,5,3,207.41,12.67,14.81
V Kohli,Suryansh Shedge,56,27,1,7,2,207.41,12.67,25.93
JM Sharma,B Kumar,56,25,1,4,4,224.0,14.4,36.0
P Simran Singh,Karan Lal,55,33,1,1,3,166.67,10.0,9.09
Tilak Varma,R Sai Kishore,55,29,1,7,2,189.66,11.38,24.14
PP Shaw,AR Patel,55,28,1,3,3,196.43,11.79,7.14
Shashank Singh,D Wiese,55,27,1,3,4,203.7,12.44,22.22
JC Buttler,Kuldeep Yadav,55,26,1,4,3,211.54,12.69,15.38
GJ Maxwell,SH Johnson,54,35,1,8,0,154.29,9.43,28.57
F du Plessis,HH Pandya,54,28,1,6,2,192.86,11.79,17.86
N Pooran,Tanush Kotian,54,27,1,3,4,192.86,12.67,25.0
Naman Dhir,SP Narine,53,42,1,3,0,126.19,7.57,11.9
P Simran Singh,TA Boult,53,34,1,8,2,155.88,9.35,44.12
CH Gayle,Shashank Singh,53,30,1,7,2,176.67,10.8,36.67
R Parag,HH Pandya,53,29,1,5,2,182.76,11.38,24.14
Q de Kock,Suryansh Shedge,53,28,1,5,3,189.29,11.57,32.14
LS Livingstone,Mustafizur Rahman,53,27,1,5,3,196.3,12.0,18.52
Shubman Gill,Noor Ahmad,52,34,1,5,2,152.94,9.35,32.35
B Sai Sudharsan,RA Jadeja,52,33,1,6,2,157.58,9.45,30.3
Naman Dhir,SL Malinga,52,30,1,5,2,173.33,10.8,26.67
GJ Maxwell,LS Livingstone,52,27,1,6,2,192.59,11.56,14.81
MP Stoinis,T Natarajan,52,27,1,3,3,192.59,11.56,11.11
V Kohli,R Sai Kishore,52,27,1,5,2,192.59,11.56,18.52
RD Gaikwad,Mohammad Ghazanfar,52,24,1,4,3,216.67,13.0,25.0
DP Conway,BA Stokes,51,36,1,6,1,141.67,8.67,30.56
