Match,Player,TI,Team,Runs,I.Runs,B.Impact,Bowl,I.Wkts,Bo.Impact,Rank
S03M065,KA Pollard,105.71,CSK,77(38),90.81,105.71,,,0.0,319
M043,JJ Bumrah,105.66,RCB,1(2),-0.08,-1.1,'4-26',4.8,106.77,320
S02M056,Washington Sundar,105.38,PBKS,18(17),17.14,16.46,'2-28',3.9,88.92,321
M036,Abishek Porel,105.27,DC,80(39),91.13,105.27,,,0.0,322
S03M058,Shakib Al Hasan,105.16,PBKS,,,0.0,'4-46',4.9,105.16,323
S05M010,WG Jacks,105.01,LSG,71(45),70.97,70.94,'1-34',1.67,34.07,324
S03M046,Rasikh Salam,105.0,GT,,,0.0,'3-24',3.83,105.0,325
S03M064,N Pooran,104.94,MI,76(47),87.16,104.94,,,0.0,326
S02M039,SA Yadav,104.93,DC,78(42),90.89,104.93,,,0.0,327
S02M072,Abhishek Sharma,104.92,MI,81(40),92.83,104.92,,,0.0,328
S03M032,JM Bairstow,104.85,KKR,91(58),93.99,104.85,,,0.0,329
S02M052,DP Conway,104.7,GT,91(57),97.3,104.7,,,0.0,330
M022,B Sai Sudharsan,104.69,MI,77(46),87.19,104.69,,,0.0,331
S02M045,Swapnil Singh,104.65,RR,7(2),9.65,13.34,'3-38',4.08,91.31,332
M034,TM Head,104.6,CSK,73(40),93.8,104.6,,,0.0,333
S03M061,V Suryavanshi,104.58,PBKS,78(46),93.07,104.58,,,98.82,334
M072,LS Livingstone,104.58,SRH,45(27),48.35,55.28,'2-44',2.43,49.3,335
S04M028,Abdul Samad,104.52,LSG,17(15),17.49,18.28,'1-1',2.32,86.25,336
S05M036,RD Gaikwad,104.49,GT,74(38),86.43,104.49,,,0.0,337
S04M070,MP Yadav,104.48,PBKS,,,0.0,'2-26',4.82,104.48,338
S03M003,V Kohli,104.46,DC,72(33),93.33,104.46,,,0.0,339
M058,GD Phillips,104.45,GT,45(19),63.93,85.86,'1-7',0.99,18.58,340
S04M063,JC Archer,104.39,LSG,,,0.0,'5-17',4.36,104.39,341
S02M003,PD Salt,104.35,RCB,89(58),92.46,104.35,,,0.0,342
M044,Kuldeep Yadav,104.04,SRH,,,0.0,'3-36',4.66,104.04,343
M035,Shubman Gill,103.98,LSG,89(62),98.12,103.98,,,0.0,344
S05M026,MA Starc,103.97,KKR,0(2),-0.69,-1.76,'4-47',5.07,105.72,345
S04M057,FH Allen,103.75,PBKS,89(51),93.44,103.75,,,0.0,346
S04M046,KA Pollard,103.68,CSK,54(15),67.54,103.68,,,0.0,347
S03M005,H Klaasen,103.67,PBKS,79(44),92.07,103.67,,,0.0,348
S02M069,JC Archer,103.65,LSG,,,0.0,'5-34',4.78,103.65,349
S05M010,NT Ellis,103.59,SRH,,,0.0,'3-39',4.65,103.59,350
S02M007,KL Rahul,103.39,SRH,78(40),96.83,103.39,,,0.0,351
S05M049,Tanush Kotian,103.36,CSK,37(16),42.8,45.88,'3-23',2.42,57.48,352
S03M036,P Simran Singh,103.31,SRH,82(50),95.92,103.31,,,0.0,353
S03M003,B Sai Sudharsan,103.2,RCB,79(46),86.99,103.2,,,0.0,354
S04M010,YBK Jaiswal,103.11,RR,62(23),67.98,103.11,,,0.0,355
S05M035,Abhishek Sharma,103.08,MI,48(29),52.56,58.41,'1-26',2.01,44.68,356
S05M046,SP Narine,103.06,KKR,55(30),60.52,64.87,'1-39',1.97,38.19,357
S04M076,P Simran Singh,102.91,SRH,95(51),96.03,102.91,,,0.0,358
S03M032,B Kumar,102.91,KKR,,,0.0,'3-32',4.57,102.91,359
S02M036,MP Yadav,102.91,CSK,,,0.0,'4-37',4.61,102.91,360
S04M061,Karan Lal,102.91,RR,0(1),-1.02,-1.8,'3-36',4.86,104.71,361
S05M082,JP Inglis,102.86,GT,74(38),81.82,102.86,,,0.0,362
S05M084,JC Archer,102.8,LSG,,,0.0,'2-47',4.97,102.8,363
S04M070,Shashank Singh,102.74,PBKS,10(3),13.88,29.05,'4-40',3.59,73.69,364
M071,Suryansh Shedge,102.63,CSK,0(1),-0.98,-1.79,'3-23',4.75,104.42,365
S04M004,Washington Sundar,102.48,PBKS,6(1),22.35,86.17,'1-42',1.09,16.31,366
S05M002,N Sindhu,102.47,DC,89(46),95.77,102.47,,,0.0,367
M003,RA Tripathi,102.34,RR,56(33),74.68,102.34,,,0.0,368
S02M057,BM Duckett,102.23,SRH,80(40),93.91,102.23,,,0.0,369
S02M010,GJ Maxwell,102.01,RR,18(12),20.64,24.37,'3-23',3.38,77.64,370
S04M014,RD Gaikwad,102.0,GT,83(47),86.72,102.0,,,0.0,371
S05M021,YS Chahal,101.97,RCB,9(10),7.87,5.55,'3-31',4.5,96.42,372
S03M045,C Green,101.9,RCB,66(34),72.31,80.9,'1-38',1.2,21.0,373
S03M043,WL Madsen,101.76,MI,72(37),84.5,101.76,,,0.0,374
S05M050,Abishek Porel,101.72,DC,85(46),90.77,101.72,,,0.0,375
S04M016,WG Jacks,101.68,LSG,44(33),46.12,48.51,'2-23',2.45,53.17,376
S03M073,Akash Vasisht,101.6,MI,,,0.0,'3-27',3.93,101.6,377
S04M001,Ishan Kishan,101.47,MI,95(60),96.59,101.47,,,0.0,378
M051,LS Livingstone,101.42,SRH,71(50),69.69,66.46,'2-24',1.69,34.96,379
S04M022,SV Samson,101.37,GT,91(48),94.79,101.37,,,0.0,380
S02M035,B Kumar,101.35,KKR,,,0.0,'3-41',5.16,101.35,381
M056,BA Stokes,101.3,LSG,7(13),2.12,1.83,'4-47',4.64,99.47,382
S02M005,RD Rickelton,101.12,RR,92(64),93.51,101.12,,,0.0,383
S04M001,Naman Dhir,101.05,GT,69(26),73.69,101.05,,,0.0,384
M019,Mustafizur Rahman,101.0,DC,21(26),15.91,13.95,'2-34',4.12,87.05,385
M073,TM Head,100.95,CSK,64(37),69.4,100.95,,,0.0,386
S04M065,T Stubbs,100.61,CSK,81(45),85.02,100.61,,,0.0,387
S04M021,N Pooran,100.54,MI,62(21),62.0,100.54,,,0.0,388
M073,AR Patel,100.49,CSK,24(25),24.01,24.04,'3-29',3.75,76.45,389
M042,Shashank Singh,100.48,PBKS,60(25),74.36,100.48,,,0.0,390
S04M043,GJ Maxwell,100.45,RR,65(42),72.96,79.38,'1-30',1.21,21.08,391
S05M003,Abdul Samad,100.45,LSG,61(52),69.26,79.5,'1-18',0.92,20.95,392
M048,S Dube,100.29,RR,85(46),91.34,100.29,,,0.0,393
S05M083,V Nigam,100.25,MI,33(13),41.4,50.6,'2-37',2.15,49.65,394
S03M023,JC Buttler,100.17,KKR,78(38),84.33,100.17,,,0.0,395
S03M031,CV Varun,100.13,PBKS,1(2),0.03,-0.58,'3-33',4.51,100.72,396
M060,TM Head,100.13,CSK,97(65),97.69,100.13,,,0.0,397
S03M066,Swapnil Singh,100.12,RR,,,0.0,'3-29',4.38,100.12,398
S05M004,JM Sharma,100.11,RCB,80(51),91.67,100.11,,,0.0,399
M037,JJ Bumrah,100.1,RCB,0(1),-1.01,-1.76,'4-28',4.62,101.87,400
S03M044,DS Rathi,100.08,KKR,,,0.0,'3-20',4.2,100.08,401
S05M058,JR Hazlewood,100.04,RR,,,0.0,'2-46',4.91,100.04,402
M056,SS Iyer,100.02,LSG,84(47),99.12,100.02,,,0.0,403
S04M009,Noor Ahmad,99.96,GT,2(1),5.92,21.36,'3-31',3.59,78.6,404
S02M019,N Pooran,99.9,MI,89(44),94.56,99.9,,,0.0,405
S02M012,VR Iyer,99.75,SRH,82(56),90.74,99.75,,,0.0,406
S03M068,Abhishek Sharma,99.73,MI,90(50),93.76,103.9,'0-7',0.0,-4.17,407
S03M068,Abhishek Sharma,99.73,MI,90(50),93.76,103.9,'0-7',0.0,-4.17,408
S03M068,Abhishek Sharma,99.73,MI,90(50),93.76,103.9,'0-7',0.0,-4.17,409
S04M089,Arshdeep Singh,99.46,LSG,8(6),6.14,6.16,'3-47',4.49,93.3,410
S02M025,GJ Maxwell,99.44,RR,83(45),85.35,103.22,'0-42',0.0,-3.79,411
S02M010,JC Buttler,99.28,KKR,68(34),80.43,99.28,,,0.0,412
S02M072,JR Hazlewood,99.18,RR,,,0.0,'5-26',4.54,99.18,413
M003,Tilak Varma,99.14,CSK,77(48),85.17,99.14,,,0.0,414
S02M013,Q de Kock,99.11,PBKS,78(45),79.26,99.11,,,0.0,415
S03M054,A Nortje,99.09,RCB,,,0.0,'3-41',4.49,99.09,416
S05M015,PJ Cummins,99.09,RR,,,0.0,'2-44',4.94,99.09,417
S02M053,TM Head,99.05,CSK,88(60),91.64,99.05,,,0.0,418
S04M032,CH Gayle,99.02,CSK,75(44),89.56,99.02,,,0.0,419
S04M064,SL Malinga,98.95,PBKS,,,0.0,'4-5',3.62,98.95,420
M029,PJ Cummins,98.95,MI,,,0.0,'4-18',3.52,98.95,421
S02M023,Naman Dhir,98.94,GT,85(46),94.09,98.94,,,0.0,422
S03M061,Arshdeep Singh,98.82,LSG,,,0.0,'2-34',3.96,98.82,423
S02M058,PP Shaw,98.82,MI,93(59),94.37,98.82,,,0.0,424
S04M078,Imran Tahir,98.78,CSK,,,0.0,'4-47',4.53,98.78,425
S05M026,B Kumar,98.72,KKR,,,0.0,'4-38',4.69,98.72,426
S04M054,YBK Jaiswal,98.69,RR,91(48),93.96,98.69,,,0.0,427
S03M060,M Prasidh Krishna,98.55,DC,,,0.0,'2-16',4.51,98.55,428
S05M053,MP Stoinis,98.51,KKR,85(44),96.85,103.49,'0-49',0.0,-4.98,429
M067,N Sindhu,98.49,DC,64(25),83.1,98.49,,,0.0,430
S05M044,GF Linde,98.41,GT,51(26),64.08,73.18,'1-39',1.38,25.23,431
S04M057,Bilal Zalmai,98.3,MI,20(11),21.45,24.27,'2-36',3.44,74.03,432
S02M011,M Pathirana,98.27,RCB,,,0.0,'3-44',4.49,98.27,433
S04M011,PD Salt,98.18,RCB,65(30),74.72,98.18,,,0.0,434
S05M009,C Green,98.16,KKR,4(2),4.62,5.76,'3-20',3.37,92.4,435
M052,TU Deshpande,98.08,RR,9(4),10.3,12.72,'3-30',3.9,85.37,436
S03M072,Akash Vasisht,98.07,MI,8(5),7.72,6.56,'3-36',4.48,91.51,437
S03M037,DS Rathi,98.06,KKR,,,0.0,'3-35',4.61,98.06,438
S02M063,Washington Sundar,98.04,PBKS,57(31),63.69,69.06,'1-25',1.32,28.98,439
M001,V Kohli,98.04,DC,73(43),90.91,98.04,,,0.0,440
S03M014,A Mishra,98.04,CSK,,,0.0,'3-34',4.61,98.04,441
M030,Jagjit Singh,97.98,CSK,,,0.0,'3-25',4.62,97.98,442
S02M012,KA Pollard,97.9,CSK,21(12),21.9,26.56,'1-5',2.75,71.34,443
S05M037,V Kohli,97.79,DC,73(40),90.83,97.79,,,0.0,444
S03M035,BA Stokes,97.72,LSG,47(25),48.88,54.41,'2-44',2.17,43.32,445
S03M031,LS Livingstone,97.65,SRH,40(34),39.01,37.26,'2-20',2.65,60.39,446
S04M015,Ashwani Kumar,97.61,RR,,,0.0,'4-29',4.36,97.61,447
S05M001,Shashank Singh,97.53,PBKS,71(44),76.41,82.11,'1-25',0.72,15.42,448
M035,MP Stoinis,97.53,PBKS,60(30),76.01,97.53,,,0.0,449
S05M077,R Parag,97.48,GT,86(48),91.03,97.48,,,0.0,450
M057,VG Arora,97.4,KKR,,,0.0,'3-38',4.58,97.4,451
S03M013,SA Yadav,97.39,DC,69(32),75.84,97.39,,,0.0,452
S03M072,M Prasidh Krishna,97.37,DC,,,0.0,'3-35',4.39,97.37,453
S04M067,YS Chahal,97.35,RCB,,,0.0,'3-37',4.55,97.35,454
S02M040,SM Curran,97.32,KKR,5(2),5.52,6.05,'2-43',4.3,91.27,455
S03M017,N Pooran,97.31,MI,71(39),81.52,97.31,,,0.0,456
S03M048,Abhishek Sharma,97.28,MI,83(54),91.01,102.0,'0-38',0.0,-4.71,457
S04M055,WG Jacks,97.1,LSG,63(35),69.41,76.15,'1-33',1.23,20.94,458
S04M040,KA Maharaj,97.04,SRH,,,0.0,'4-53',4.4,97.04,459
S04M048,Chirag Jani,96.98,PBKS,75(41),79.86,96.98,,,0.0,460
S05M028,V Kohli,96.95,DC,60(23),78.76,96.95,,,0.0,461
S05M006,V Nigam,96.95,MI,,,0.0,'3-26',4.52,96.95,462
S04M035,CH Gayle,96.91,CSK,77(51),80.93,96.91,,,0.0,463
S03M018,Urvil Patel,96.9,DC,79(43),82.12,96.9,,,0.0,464
S02M064,V Kohli,96.8,DC,84(43),89.91,96.8,,,0.0,465
M050,Fazalhaq Farooqi,96.77,CSK,,,0.0,'4-21',4.45,96.77,466
S02M012,SH Johnson,96.72,SRH,4(4),2.84,1.65,'3-34',4.16,95.07,467
M033,DP Conway,96.67,GT,68(37),79.26,96.67,,,0.0,468
S05M028,S Lamichhane,96.57,DC,,,0.0,'4-36',4.35,96.57,469
S04M039,SA Yadav,96.49,DC,81(46),86.74,96.49,,,0.0,470
S04M052,Rasikh Salam,96.43,GT,,,0.0,'3-46',4.25,96.43,471
S04M032,MP Yadav,96.43,PBKS,,,0.0,'3-33',4.33,96.43,472
S03M059,Aniket Verma,96.41,RR,81(42),84.62,96.41,,,0.0,473
S04M009,R Parag,96.39,GT,70(32),76.55,102.28,'0-18',0.0,-5.9,474
S03M056,AK Markram,96.37,SRH,17(12),20.69,22.46,'3-42',3.69,73.9,475
S02M031,B Sai Sudharsan,96.35,RCB,77(40),80.86,96.35,,,0.0,476
S04M060,Rahul Singh,96.32,RCB,68(31),78.83,96.32,,,0.0,477
M054,Rashid Khan,96.2,GT,,,0.0,'3-24',4.32,96.2,478
S03M001,GJ Maxwell,96.2,RR,66(36),68.06,75.89,'1-49',1.29,20.31,479
M045,HH Pandya,96.1,MI,36(25),38.92,39.58,'2-21',2.35,56.51,480
S05M032,LS Livingstone,96.01,KKR,,,0.0,'4-27',4.32,96.01,481
S04M073,PD Salt,96.0,RCB,75(43),82.07,96.0,,,0.0,482
S02M034,N Pooran,95.91,MI,92(60),93.39,95.91,,,0.0,483
M012,TM Head,95.91,CSK,65(30),80.06,95.91,,,0.0,484
M034,GJ Maxwell,95.84,RR,35(28),37.83,39.89,'2-29',2.56,55.94,485
S02M062,S Dube,95.79,RR,87(50),89.79,95.79,,,0.0,486
S05M066,RD Gaikwad,95.77,GT,94(57),95.21,95.77,,,0.0,487
M004,Washington Sundar,95.67,PBKS,14(11),14.22,14.28,'2-18',2.91,81.4,488
S05M007,Smaran Ravichandran,95.59,PBKS,56(26),67.55,95.59,,,0.0,489
M019,Mohammad Ghazanfar,95.54,GT,,,0.0,'4-23',4.11,95.54,490
S03M055,Naman Dhir,95.48,GT,82(46),89.77,95.48,,,0.0,491
S05M064,AHT Donald,95.45,RCB,65(31),70.36,95.45,,,0.0,492
S03M010,Rasikh Salam,95.36,GT,,,0.0,'4-39',4.5,95.36,493
M044,P Simran Singh,95.17,SRH,61(27),79.06,95.17,,,0.0,494
S02M017,M Markande,95.11,PBKS,,,0.0,'3-24',4.28,95.11,495
M064,Noor Ahmad,95.08,KKR,,,0.0,'4-23',4.11,95.08,496
S02M061,Washington Sundar,95.0,PBKS,49(37),52.58,58.74,'1-37',2.09,36.26,497
M004,HV Patel,94.95,PBKS,20(11),24.61,25.9,'3-29',2.74,69.05,498
S02M022,Kuldeep Yadav,94.93,SRH,,,0.0,'3-24',4.14,94.93,499
S04M028,V Suryavanshi,94.93,PBKS,48(25),71.36,94.93,,,0.0,500
S05M064,M Pathirana,94.88,RCB,,,0.0,'4-36',4.62,94.88,501
S04M068,Mohammad Ghazanfar,94.86,SRH,,,0.0,'2-30',4.67,94.86,502
S02M044,Abhishek Sharma,94.82,MI,80(44),80.43,94.82,,,0.0,503
S02M008,JJ Bumrah,94.82,MI,,,0.0,'3-27',3.6,94.82,504
M067,KV Sharma,94.81,RCB,2(5),-0.62,-0.78,'3-41',4.55,95.58,505
S04M024,BJ McMullen,94.78,RR,81(51),83.53,94.78,,,0.0,506
S02M010,A Kamboj,94.56,RR,0(2),-0.73,-1.76,'3-14',4.1,96.32,507
S04M005,RD Rickelton,94.52,LSG,75(36),82.7,94.52,,,0.0,508
M047,RG Sharma,94.46,PBKS,85(47),86.12,94.46,,,0.0,509
S03M071,JP Inglis,94.3,GT,72(39),81.82,94.3,,,0.0,510
S05M008,Karan Lal,94.27,RR,9(5),10.57,12.85,'2-38',3.96,81.41,511
S02M002,BM Duckett,94.26,SRH,80(43),86.38,94.26,,,0.0,512
S05M040,BJ McMullen,94.24,RR,10(13),8.94,4.43,'2-26',3.97,89.81,513
S05M048,TH David,94.18,PBKS,77(39),85.54,94.18,,,0.0,514
S02M056,H Klaasen,94.17,PBKS,57(23),77.91,94.17,,,0.0,515
S02M060,Tilak Varma,94.09,CSK,72(35),81.05,94.09,,,0.0,516
S05M039,HH Pandya,94.03,MI,,,0.0,'3-18',3.27,94.03,517
S02M054,V Kohli,93.94,DC,82(50),85.09,93.94,,,0.0,518
S03M009,PD Salt,93.9,RCB,82(47),86.07,93.9,,,0.0,519
S02M060,AM Rahane,93.9,KKR,76(49),82.11,93.9,,,0.0,520
S04M022,N Sindhu,93.88,DC,89(47),90.1,93.88,,,0.0,521
S05M075,JC Archer,93.87,LSG,,,0.0,'4-25',4.04,93.87,522
S03M071,PD Salt,93.84,RCB,80(54),87.43,93.84,,,0.0,523
S03M019,B Sai Sudharsan,93.76,RCB,86(55),88.4,93.76,,,0.0,524
S02M042,PD Salt,93.68,RCB,69(40),80.0,93.68,,,0.0,525
S05M050,JJ Bumrah,93.67,DC,,,0.0,'3-41',4.38,93.67,526
S02M019,Abhishek Sharma,93.6,MI,92(51),92.81,93.6,,,0.0,527
S03M012,Atharva Ankolekar,93.59,MI,7(4),7.24,7.46,'4-35',4.04,86.13,528
S05M071,S Dube,93.58,RR,47(32),46.85,46.62,'2-41',2.34,46.95,529
S02M046,Mohsin Khan,93.57,RCB,,,0.0,'4-20',4.12,93.57,530
S04M031,Akash Vasisht,93.54,DC,4(1),8.18,17.63,'2-42',3.61,75.91,531
S02M022,BM Duckett,93.52,SRH,82(52),84.92,93.52,,,0.0,532
M018,Sandeep Sharma,93.51,RR,,,0.0,'4-41',4.5,93.51,533
S03M017,BA Stokes,93.49,LSG,1(2),-0.41,-1.06,'3-30',4.32,94.54,534
S05M011,Urvil Patel,93.4,MI,82(52),84.91,93.4,,,0.0,535
S02M028,Abishek Porel,93.35,DC,75(36),81.99,93.35,,,0.0,536
S03M045,RS Hangargekar,93.21,RCB,9(5),8.88,8.72,'3-20',3.09,84.5,537
S04M092,Karan Lal,93.15,RR,,,0.0,'4-37',4.31,93.15,538
S03M053,TA Boult,93.12,MI,1(1),0.1,-1.15,'4-39',5.77,94.27,539
S04M015,KA Pollard,93.06,CSK,28(10),39.33,55.86,'1-51',2.02,37.2,540
S03M033,JP Inglis,93.03,GT,87(54),89.16,93.03,,,0.0,541
S04M049,N Pooran,93.0,MI,74(35),79.58,93.0,,,0.0,542
S05M080,PD Salt,92.99,RCB,89(52),89.41,92.99,,,0.0,543
S05M069,YK Pathan,92.98,KKR,38(18),46.35,60.48,'1-35',1.84,32.5,544
M073,YS Chahal,92.94,CSK,,,0.0,'3-22',4.1,92.94,545
M036,Sikandar Raza,92.9,DC,56(40),54.24,51.99,'1-51',2.15,40.9,546
M034,Suryansh Shedge,92.83,CSK,0(1),-1.19,-1.81,'3-33',4.49,94.64,547
S05M069,AK Markram,92.77,DC,11(8),10.87,10.22,'3-36',3.72,82.55,548
M051,Tanush Kotian,92.69,SRH,,,0.0,'3-28',4.15,92.69,549
S05M009,M Pathirana,92.68,RCB,0(1),-1.21,-1.7,'3-31',4.36,94.38,550
S05M018,MJ Owen,92.65,DC,20(7),25.01,31.75,'2-38',3.0,60.91,551
S02M021,Smaran Ravichandran,92.61,PBKS,62(30),77.95,92.61,,,0.0,552
S04M077,C Green,92.61,KKR,42(18),44.44,54.37,'2-32',1.98,38.25,553
S02M035,R Powell,92.54,KKR,60(30),74.32,92.54,,,0.0,554
S05M062,Tanush Kotian,92.52,CSK,,,0.0,'2-29',3.56,92.52,555
S04M082,Karan Lal,92.51,RR,,,0.0,'3-33',4.0,92.51,556
S05M005,B Kumar,92.47,KKR,0(2),-0.67,-1.76,'4-29',4.42,94.24,557
S04M089,Abhishek Sharma,92.47,MI,44(23),47.03,52.74,'1-1',0.65,39.74,558
S05M042,B Kumar,92.41,KKR,,,0.0,'3-34',4.77,92.41,559
S05M043,Karan Lal,92.35,RR,,,0.0,'4-45',4.59,92.35,560
S05M081,SS Iyer,92.33,LSG,76(42),84.59,92.33,,,0.0,561
S05M023,JC Archer,92.26,LSG,5(7),4.05,2.34,'3-30',4.0,89.93,562
S03M009,Washington Sundar,92.24,PBKS,28(17),28.3,28.91,'1-19',2.32,63.33,563
S05M010,Mohammad Nabi,92.13,LSG,,,0.0,'2-21',3.09,92.13,564
S04M036,R Sai Kishore,92.12,MI,17(7),20.33,24.33,'2-36',2.89,67.78,565
S04M062,Akash Vasisht,92.09,DC,,,0.0,'4-26',4.47,92.09,566
M065,Atharva Taide,91.98,RR,69(34),79.19,91.98,,,0.0,567
S05M066,Sameer Rizvi,91.9,LSG,66(32),83.73,91.9,,,0.0,568
S05M001,A Nagwaswalla,91.86,RR,,,0.0,'4-22',4.1,91.86,569
S03M051,V Kohli,91.76,DC,68(43),80.78,91.76,,,0.0,570
M047,PD Salt,91.74,RCB,86(54),91.77,91.74,,,0.0,571
S03M058,Smaran Ravichandran,91.55,PBKS,87(59),88.17,91.55,,,0.0,572
S04M058,Karan Lal,91.55,RR,,,0.0,'1-27',3.0,91.55,573
S03M063,R Shepherd,91.52,GT,0(3),-0.74,-1.8,'3-35',4.48,93.32,574
M039,WG Jacks,91.51,LSG,67(40),77.07,91.51,,,0.0,575
S03M070,GJ Maxwell,91.5,RR,50(30),50.95,53.33,'1-43',1.92,38.17,576
M011,M Theekshana,91.39,MI,,,0.0,'3-48',4.37,91.39,577
M026,Suryansh Shedge,91.3,CSK,,,0.0,'4-37',4.62,91.3,578
S05M005,Shaheen Shah Afridi,91.26,MI,9(5),10.38,11.31,'3-25',3.7,79.95,579
S02M062,N Pooran,91.24,MI,74(42),80.17,91.24,,,0.0,580
M002,HH Pandya,91.21,MI,,,0.0,'3-20',3.42,91.21,581
S04M065,Suryansh Shedge,91.17,CSK,,,0.0,'3-34',4.37,91.17,582
M034,T Natarajan,91.12,CSK,,,0.0,'3-31',4.12,91.12,583
S03M074,HH Pandya,91.04,MI,34(18),35.9,40.19,'2-3',1.69,50.85,584
S04M031,Abhishek Sharma,91.02,MI,69(37),81.82,90.95,'0-18',0.0,0.07,585
S04M060,LS Livingstone,91.01,RCB,9(15),6.4,2.19,'3-13',3.63,88.81,586
S04M029,Shahbaz Ahmed,91.0,GT,5(5),3.83,2.64,'2-34',4.12,88.35,587
S04M040,P Simran Singh,90.87,SRH,80(45),85.62,90.87,,,0.0,588
S02M021,Harpreet Brar,90.79,RCB,,,0.0,'2-31',4.51,90.79,589
S03M063,BJ McMullen,90.79,DC,57(34),63.75,71.48,'1-7',0.69,19.3,590
S04M020,SL Malinga,90.7,PBKS,14(9),14.36,14.59,'2-42',3.48,76.11,591
S04M081,JM Sharma,90.67,RCB,60(26),71.27,90.67,,,0.0,592
S04M028,Shakib Al Hasan,90.67,PBKS,0(1),-0.9,-1.8,'4-29',4.5,92.47,593
S04M045,JM Sharma,90.62,RCB,59(29),67.49,90.62,,,0.0,594
S02M064,RA Jadeja,90.61,DC,,,0.0,'4-23',3.54,90.61,595
S03M012,WL Madsen,90.61,MI,66(37),78.7,90.61,,,0.0,596
S05M003,WG Jacks,90.57,LSG,30(16),36.14,43.75,'1-14',2.05,46.82,597
S04M073,HC Brook,90.55,MI,80(49),82.88,90.55,,,0.0,598
S05M082,S Dube,90.5,RR,71(35),78.36,90.95,'0-40',0.0,-0.45,599
S02M036,Tilak Varma,90.5,CSK,60(28),79.71,90.5,,,0.0,600
M026,Tilak Varma,90.5,CSK,73(44),75.44,90.5,,,0.0,601
S04M011,KL Rahul,90.47,SRH,67(42),79.03,90.47,,,0.0,602
S04M086,Naman Dhir,90.44,GT,77(35),81.53,90.44,,,0.0,603
S04M047,Karan Lal,90.44,RR,16(9),19.08,21.34,'3-20',2.98,69.1,604
S05M059,NT Ellis,90.43,SRH,,,0.0,'3-34',4.3,90.43,605
S02M018,P Simran Singh,90.4,SRH,63(35),70.94,90.4,,,0.0,606
S05M008,A Nagwaswalla,90.19,RR,5(4),4.7,4.25,'4-34',3.94,85.94,607
S02M049,Shakib Al Hasan,90.13,PBKS,13(5),16.02,28.42,'3-28',2.94,61.71,608
S04M024,SL Malinga,90.11,PBKS,,,0.0,'2-29',3.73,90.11,609
S03M017,Shubman Gill,90.05,LSG,53(25),78.43,90.05,,,0.0,610
S05M016,C Green,90.02,KKR,50(26),58.58,74.06,'1-34',0.83,15.96,611
S03M008,Fazalhaq Farooqi,90.01,CSK,,,0.0,'3-34',4.62,90.01,612
S05M014,Washington Sundar,89.86,PBKS,13(9),13.27,13.56,'4-40',4.59,76.3,613
S04M032,AR Patel,89.86,CSK,8(11),5.03,3.1,'3-44',4.21,86.75,614
M043,G Coetzee,89.83,KKR,21(16),21.32,21.73,'2-21',3.07,68.1,615
S04M065,Bilal Zalmai,89.64,MI,30(13),37.3,40.97,'1-42',2.67,48.66,616
S03M065,JC Archer,89.62,LSG,2(8),0.1,-1.32,'3-51',4.48,90.94,617
S05M083,Sikandar Raza,89.51,MI,8(5),7.78,7.54,'2-26',3.57,81.97,618
S04M021,AM Rahane,89.46,MI,85(55),85.0,89.46,,,0.0,619
S04M068,SZ Mulani,89.43,LSG,8(7),6.83,4.8,'2-11',3.5,84.64,620
S04M057,Abhishek Sharma,89.4,MI,67(39),74.59,89.4,,,0.0,621
S04M001,Noor Ahmad,89.37,GT,,,0.0,'3-41',4.07,89.37,622
S02M009,SS Iyer,89.36,LSG,44(19),71.74,89.36,,,0.0,623
S05M040,YBK Jaiswal,89.33,RR,59(25),64.79,89.33,,,0.0,624
S04M084,C Green,89.22,KKR,52(36),67.95,78.05,'1-27',0.72,11.17,625
S04M006,Priyansh Arya,89.18,SRH,75(42),79.81,89.18,,,0.0,626
S05M022,CH Gayle,89.17,CSK,20(10),21.77,22.81,'1-29',2.69,66.36,627
S03M009,M Pathirana,89.16,RCB,,,0.0,'3-46',4.32,89.16,628
M041,AR Patel,89.13,CSK,,,0.0,'3-23',3.52,89.13,629
M063,Mustafizur Rahman,89.13,DC,,,0.0,'2-24',3.71,89.13,630
S04M033,JC Archer,89.12,LSG,,,0.0,'3-52',4.11,89.12,631
S05M064,PWH de Silva,89.12,RCB,12(4),13.73,21.84,'3-23',3.01,67.28,632
S03M015,JM Bairstow,89.09,KKR,76(51),85.34,89.09,,,0.0,633
S05M067,D Brevis,89.08,RR,35(27),38.45,40.86,'1-34',2.4,48.21,634
S05M017,Tilak Varma,88.97,CSK,79(53),79.0,88.97,,,0.0,635
S04M076,YBK Jaiswal,88.92,RR,75(37),82.45,88.92,,,0.0,636
M069,N Sindhu,88.91,DC,62(30),75.11,88.91,,,0.0,637
S03M073,DS Airee,88.87,RCB,32(13),38.61,44.63,'1-25',1.35,44.23,638
S03M016,KL Rahul,88.85,SRH,71(42),78.47,88.85,,,0.0,639
S02M041,Washington Sundar,88.83,PBKS,,,0.0,'3-32',4.3,88.83,640
S05M023,TA Boult,88.82,MI,15(11),15.96,17.39,'3-18',3.29,71.43,641
M021,M Pathirana,88.72,RCB,0(1),-1.39,-1.76,'3-12',3.93,90.48,642
S05M024,MR Marsh,88.68,SRH,42(27),42.56,43.68,'1-16',1.8,45.0,643
S05M030,GF Linde,88.54,GT,,,0.0,'2-37',4.21,88.54,644
