bowler,venue,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
KH Pandya,PBKS,163,7,34,8.58,16.29,19.0,RR
HH Pandya,CSK,264,7,27,11.56,19.57,22.5,MI
Suryansh Shedge,KKR,186,7,37,9.3,17.14,20.0,CSK
HH Pandya,KKR,74,6,42,5.29,14.0,14.0,MI
NT Ellis,RCB,87,6,26,8.7,10.0,10.0,SRH
M Pathirana,PBKS,106,6,31,9.09,11.67,11.4,RCB
M Pathirana,SRH,236,6,20,11.8,20.0,20.0,RCB
SH Johnson,RR,148,6,23,10.57,14.0,14.0,GT
HH Pandya,LSG,78,6,16,8.67,9.0,9.0,MI
NT Ellis,RR,68,6,11,9.27,7.33,7.2,SRH
D Wiese,GT,326,6,34,11.24,29.0,29.0,GT
SH Johnson,CSK,170,6,27,10.97,15.5,15.3,GT
JJ Bumrah,PBKS,112,6,28,9.33,12.0,12.0,DC
MP Yadav,GT,111,6,25,9.25,12.0,12.0,PBKS
V Nigam,MI,183,6,28,9.63,19.0,19.0,GT
HV Patel,CSK,119,6,21,9.15,13.0,13.0,GT
Karan Lal,PBKS,99,6,25,8.25,12.0,12.0,RR
M Theekshana,MI,142,6,24,10.14,14.0,14.0,
Mohammad Nabi,SRH,100,6,24,8.33,12.0,12.0,LSG
SH Johnson,PBKS,55,6,20,7.33,7.5,7.3,GT
Karan Lal,RCB,82,6,16,10.25,8.0,8.0,RR
CV Varun,SRH,142,6,29,9.47,15.0,15.0,PBKS
A Nagwaswalla,LSG,44,6,26,5.5,8.0,8.0,RR
Yuvraj Singh,CSK,212,6,44,11.16,19.0,19.0,CSK
JJ Bumrah,RR,238,6,35,9.65,24.67,24.4,DC
MG Bracewell,DC,264,6,37,10.56,25.0,25.0,
Tanush Kotian,PBKS,167,6,34,10.44,16.0,16.0,CSK
SH Johnson,GT,98,6,38,7.44,13.17,13.1,GT
M Markande,LSG,115,6,29,7.67,15.0,15.0,
TU Deshpande,RR,168,6,35,9.33,18.0,18.0,MI
RA Jadeja,KKR,124,6,29,8.27,15.0,15.0,SRH
Ravi Bishnoi,GT,119,6,16,9.92,12.0,12.0,GT
R Sai Kishore,PBKS,102,6,40,6.38,16.0,16.0,MI
GD Phillips,GT,255,6,42,10.2,25.0,25.0,GT
Shashank Singh,LSG,113,6,24,10.27,11.0,11.0,PBKS
AK Markram,LSG,80,6,17,8.89,9.0,9.0,DC
PWH de Silva,RR,110,6,21,10.0,11.0,11.0,RCB
Yudhvir Singh,RCB,160,6,38,9.41,17.0,17.0,RCB
GJ Maxwell,DC,276,6,28,12.0,23.0,23.0,DC
AR Patel,RCB,137,6,44,7.21,19.0,19.0,CSK
AR Patel,SRH,210,6,34,9.84,21.33,21.2,CSK
B Kumar,LSG,193,6,24,11.58,16.67,16.4,KKR
AR Ramjani,SRH,53,6,22,6.62,8.0,8.0,PBKS
Arshdeep Singh,KKR,168,6,44,8.4,20.0,20.0,LSG
JC Archer,CSK,162,6,33,10.12,16.0,16.0,LSG
JG Bethell,SRH,131,6,15,10.08,13.0,13.0,RR
DS Airee,RCB,155,6,28,9.12,17.0,17.0,CSK
Suryansh Shedge,PBKS,157,5,23,9.81,19.2,16.0,CSK
AK Markram,CSK,55,5,14,9.17,7.2,6.0,DC
Pulkit Narang,RR,80,5,26,8.0,12.0,10.0,RR
Rasikh Salam,DC,112,5,18,9.33,14.4,12.0,MI
V Puthur,SRH,120,5,28,9.23,15.6,13.0,DC
Akash Vasisht,DC,192,5,23,9.14,25.2,21.0,SRH
Harpreet Brar,RCB,447,5,62,9.9,54.2,45.1,GT
K Rabada,MI,168,5,26,10.5,19.2,16.0,
CH Gayle,GT,59,5,13,11.8,6.0,5.0,CSK
DJ Bravo,RCB,109,5,15,9.91,13.2,11.0,
HJ Manenti,DC,41,5,11,10.25,4.8,4.0,CSK
SP Narine,GT,151,5,15,9.44,19.2,16.0,KKR
Rasikh Salam,CSK,113,5,20,9.42,14.4,12.0,MI
HH Pandya,SRH,145,5,24,10.36,16.8,14.0,MI
M Pathirana,DC,153,5,23,10.2,18.0,15.0,RCB
Tanush Kotian,GT,94,5,18,8.55,13.2,11.0,CSK
V Nigam,PBKS,128,5,33,8.17,18.8,15.4,GT
M Pathirana,MI,114,5,19,10.36,13.2,11.0,RCB
Harsh Tyagi,SRH,157,5,39,9.81,19.2,16.0,SRH
M Prasidh Krishna,MI,417,5,59,10.47,47.8,39.5,RR
SL Malinga,PBKS,185,5,19,10.28,21.6,18.0,PBKS
GF Linde,PBKS,138,5,31,9.2,18.0,15.0,GT
Rashid Khan,PBKS,124,5,23,8.86,16.8,14.0,MI
K Kartikeya,GT,171,5,34,8.62,23.8,19.5,LSG
Yash Thakur,KKR,116,5,25,8.29,16.8,14.0,MI
M Theekshana,DC,109,5,21,9.48,13.8,11.3,
Yudhvir Singh,GT,193,5,33,10.72,21.6,18.0,RCB
R Shepherd,DC,121,5,34,7.56,19.2,16.0,GT
Rasikh Salam,MI,185,5,31,9.74,22.8,19.0,MI
Cheepurapalli Stephen,CSK,152,5,20,10.86,16.8,14.0,CSK
Tanush Kotian,RR,56,5,34,5.09,13.2,11.0,CSK
PWH de Silva,GT,51,5,16,7.29,8.4,7.0,RCB
NT Ellis,CSK,152,5,29,9.5,19.2,16.0,SRH
Mohammed Shami,LSG,179,5,33,9.42,22.8,19.0,LSG
TA Boult,RCB,205,5,49,8.54,28.8,24.0,MI
TA Boult,KKR,126,5,42,7.88,19.2,16.0,MI
HV Patel,LSG,118,5,25,7.96,17.8,14.5,GT
Naveen-ul-Haq,CSK,103,5,31,8.58,14.4,12.0,SRH
T Natarajan,PBKS,196,5,17,10.99,21.4,17.5,CSK
Harpreet Brar,DC,52,5,19,6.5,9.6,8.0,GT
JJ Smit,CSK,92,5,30,8.36,13.2,11.0,PBKS
Mohammed Shami,KKR,104,5,26,8.67,14.4,12.0,LSG
Naveen-ul-Haq,GT,130,5,16,11.64,13.4,11.1,SRH
Mohammad Nabi,PBKS,87,5,39,6.21,16.8,14.0,LSG
Shashank Singh,GT,86,5,17,10.75,9.6,8.0,PBKS
Imran Tahir,LSG,97,5,14,12.12,9.6,8.0,CSK
JJ Bumrah,SRH,123,5,20,8.2,18.0,15.0,DC
SP Narine,RR,219,5,34,9.45,27.8,23.1,KKR
DS Rathi,RR,93,5,25,7.75,14.4,12.0,KKR
Karan Lal,SRH,38,5,13,6.33,7.2,6.0,RR
HR Shokeen,RR,121,5,27,8.07,18.0,15.0,RR
Ravi Teja,RCB,155,5,30,9.89,18.8,15.4,RCB
PHKD Mendis,MI,67,5,12,8.38,9.6,8.0,DC
SP Narine,RCB,160,5,20,10.0,19.2,16.0,KKR
C Sakariya,KKR,148,5,23,9.25,19.2,16.0,SRH
JJ Smit,KKR,74,5,22,6.73,13.2,11.0,PBKS
PJ Cummins,RR,167,5,33,8.79,22.8,19.0,
Fazalhaq Farooqi,KKR,132,5,43,8.25,19.2,16.0,CSK
S Dube,KKR,56,5,16,8.62,7.8,6.3,RR
PJ Cummins,GT,167,5,28,10.44,19.2,16.0,
BA Stokes,RR,134,5,39,8.93,18.0,15.0,RR
Shivam Shukla,MI,169,5,25,10.56,19.2,16.0,MI
Kuldeep Yadav,PBKS,158,5,47,7.9,24.0,20.0,SRH
Ashutosh Sharma,CSK,85,5,22,9.44,10.8,9.0,RCB
JJ Bumrah,LSG,126,5,26,7.88,19.2,16.0,DC
JN Loftie-Eaton,RR,213,5,64,8.19,31.2,26.0,RR
Azmatullah Omarzai,RR,211,5,36,10.46,24.2,20.1,
D Wiese,PBKS,81,5,17,7.36,13.2,11.0,GT
VG Arora,MI,156,4,28,9.75,24.0,16.0,KKR
Jagjit Singh,RCB,77,4,27,7.45,15.5,10.2,SRH
T Natarajan,DC,202,4,19,12.76,23.75,15.5,CSK
SZ Mulani,LSG,246,4,26,9.46,39.0,26.0,LSG
SL Malinga,GT,118,4,19,10.73,16.5,11.0,PBKS
GF Linde,RR,228,4,40,9.91,34.5,23.0,GT
SL Malinga,MI,128,4,12,11.64,16.5,11.0,PBKS
SL Malinga,KKR,69,4,17,8.62,12.0,8.0,PBKS
A Nortje,DC,36,4,11,9.0,6.0,4.0,
Karan Lal,DC,72,4,9,10.29,10.5,7.0,RR
V Puthur,LSG,111,4,24,10.09,16.5,11.0,DC
Kuldeep Yadav,RR,151,4,27,10.07,22.5,15.0,SRH
TU Deshpande,MI,201,4,41,9.57,31.5,21.0,MI
H Ssenyondo,LSG,81,4,11,10.12,12.0,8.0,LSG
Tanay Thyagarajan,RCB,102,4,24,8.5,18.0,12.0,RCB
T Natarajan,KKR,82,4,23,7.81,15.75,10.3,CSK
SL Malinga,RCB,37,4,11,7.4,7.5,5.0,PBKS
JN Loftie-Eaton,PBKS,63,4,17,7.88,12.0,8.0,RR
Fazalhaq Farooqi,RCB,79,4,17,9.88,12.0,8.0,CSK
SZ Mulani,SRH,46,4,16,6.57,10.5,7.0,LSG
