bowler,innings,pitch,runs_conceded,balls,wkts,dots,Eco,SR,Curr_Tm
GJ Maxwell,2,pace,402,228,6,37,10.58,38.0,DC
Rashid Khan,1,neutralish,271,138,6,27,11.78,23.0,RCB
C Sakariya,2,spin,143,98,6,27,8.76,16.33,RR
Rasikh Salam,1,spin,149,92,6,26,9.72,15.33,SRH
PHKD Mendis,1,spin,229,133,6,36,10.33,22.17,PBKS
Cheepurapalli Stephen,2,pace,207,132,6,37,9.41,22.0,RR
Karan Lal,1,pace,233,144,6,34,9.71,24.0,RR
B Kumar,1,neutralish,234,138,6,41,10.17,23.0,KKR
Azmatullah Omarzai,2,pace,205,144,6,49,8.54,24.0,
MA Starc,2,neutralish,165,89,6,22,11.12,14.83,MI
Zeeshan Ansari,1,spin,194,126,5,43,9.24,25.2,RR
R Parag,2,spin,108,78,5,17,8.31,15.6,GT
LS Livingstone,2,neutralish,116,60,5,13,11.6,12.0,PBKS
Utkarsh Singh,1,spin,186,144,5,38,7.75,28.8,RR
Yudhvir Singh,1,pace,167,132,5,60,7.59,26.4,RR
Naveen-ul-Haq,2,neutralish,172,105,5,29,9.83,21.0,
V Nigam,1,neutralish,281,144,5,29,11.71,28.8,GT
YK Pathan,2,pace,130,84,5,24,9.29,16.8,
Pulkit Narang,2,pace,131,90,5,26,8.73,18.0,KKR
L Ngidi,1,pace,91,48,5,18,11.38,9.6,RR
Naveen-ul-Haq,1,neutralish,177,96,5,27,11.06,19.2,
PP Chawla,2,spin,166,114,5,33,8.74,22.8,
Khrievitso Kense,2,spin,240,162,5,57,8.89,32.4,
Parth Chandan,2,spin,280,162,5,50,10.37,32.4,DC
MA Starc,1,spin,160,96,5,19,10.0,19.2,MI
KA Pollard,1,pace,271,132,5,20,12.32,26.4,RR
TA Boult,1,neutralish,253,168,5,58,9.04,33.6,
T Natarajan,2,spin,269,136,5,25,11.87,27.2,RR
KC Cariappa,2,spin,96,72,5,25,8.0,14.4,
S Dube,1,spin,380,198,5,41,11.52,39.6,RR
Mohsin Khan,2,pace,155,88,5,30,10.57,17.6,
SP Narine,1,neutralish,173,114,5,24,9.11,22.8,SRH
K Rabada,1,pace,186,120,5,36,9.3,24.0,
