striker,batting_team,num_innings,runs,balls,outs,fours,sixes,dots,ones,twos,threes,strike_rate,balls_per_dismissal,bat_avg,bpb,dot_%,30+_scores,50+_scores,100+_scores
Arshdeep Singh,LSG,1,8,3,0,0,1,0,2,0,0,266.67,inf,inf,3.0,0.0,0,0,0
MM Sharma,DC,1,8,3,0,0,1,1,0,1,0,266.67,inf,inf,3.0,33.33,0,0,0
R Ravindra,GT,1,7,7,1,1,0,6,0,0,1,100.0,7.0,7.0,7.0,85.71,0,0,0
Yash Thakur,PBKS,3,7,15,1,0,0,8,7,0,0,46.67,15.0,7.0,inf,53.33,0,0,0
J Anderson,MI,1,6,4,1,1,0,2,0,1,0,150.0,4.0,6.0,4.0,50.0,0,0,0
PP Chawla,RR,1,6,7,1,1,0,4,2,0,0,85.71,7.0,6.0,7.0,57.14,0,0,0
CV Varun,PBKS,3,6,13,1,0,0,7,6,0,0,46.15,13.0,6.0,inf,53.85,0,0,0
BM Duckett,SRH,1,5,4,1,1,0,3,1,0,0,125.0,4.0,5.0,4.0,75.0,0,0,0
SN Thakur,DC,2,4,5,1,0,0,4,1,0,1,80.0,5.0,4.0,inf,80.0,0,0,0
AS Roy,GT,1,4,7,1,0,0,3,4,0,0,57.14,7.0,4.0,inf,42.86,0,0,0
Fazalhaq Farooqi,CSK,2,4,7,2,0,0,3,4,0,0,57.14,3.5,2.0,inf,42.86,0,0,0
R Powell,RR,1,4,9,1,0,0,5,4,0,0,44.44,9.0,4.0,inf,55.56,0,0,0
A Raghuvanshi,MI,1,3,3,1,0,0,2,0,0,1,100.0,3.0,3.0,inf,66.67,0,0,0
KV Sharma,RCB,1,2,5,1,0,0,3,2,0,0,40.0,5.0,2.0,inf,60.0,0,0,0
LH Ferguson,SRH,1,2,6,0,0,0,5,2,0,0,33.33,inf,inf,inf,83.33,0,0,0
D Ferreira,RCB,1,1,3,1,0,0,2,1,0,0,33.33,3.0,1.0,inf,66.67,0,0,0
JP Inglis,CSK,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
MA Agarwal,PBKS,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
MJ Suthar,MI,1,0,1,0,0,0,1,0,0,0,0.0,inf,,inf,100.0,0,0,0
Noor Ahmad,KKR,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
Robin Minz,GT,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
Shrijith Krishnan,GT,1,0,1,1,0,0,1,0,0,0,0.0,1.0,0.0,inf,100.0,0,0,0
