striker,runs,balls,outs,avg,SR,Curr_Tm
Shubman Gill,1967,1139,49,40.14,172.7,LSG
CH Gayle,1910,1165,47,40.64,163.95,CSK
GJ Maxwell,1900,1091,49,38.78,174.15,DC
PD Salt,1888,1118,51,37.02,168.87,RCB
Abhishek Sharma,1885,979,44,42.84,192.54,MI
KL Rahul,1848,1157,40,46.2,159.72,SRH
JP Inglis,1821,1049,42,43.36,173.59,GT
Naman Dhir,1820,1072,42,43.33,169.78,GT
Tilak Varma,1776,1096,47,37.79,162.04,CSK
RD Gaikwad,1730,1027,39,44.36,168.45,GT
YBK Jaiswal,1679,902,35,47.97,186.14,RR
S Dube,1647,1013,43,38.3,162.59,RR
SA Yadav,1647,938,44,37.43,175.59,DC
SV Samson,1581,986,47,33.64,160.34,GT
P Simran Singh,1537,945,46,33.41,162.65,SRH
WG Jacks,1536,1007,48,32.0,152.53,LSG
V Suryavanshi,1533,962,48,31.94,159.36,PBKS
