striker,pitch,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
BM Duckett,pace,Middle,2,3,106,68,2,53.0,155.88,SRH
Tarang Gohel,neutralish,PP,1,4,106,62,1,106.0,170.97,DC
JC Buttler,neutralish,Middle,1,5,106,76,2,53.0,139.47,LSG
YBK Jaiswal,neutralish,Middle,1,3,105,52,1,105.0,201.92,RR
T Stubbs,pace,Death,1,4,105,48,1,105.0,218.75,CSK
TP Ura,spin,Death,1,5,105,51,4,26.25,205.88,PBKS
RD Gaikwad,spin,Middle,1,5,105,62,4,26.25,169.35,GT
BM Duckett,neutralish,PP,2,5,105,65,2,52.5,161.54,SRH
JJ Smit,pace,Death,1,6,104,51,3,34.67,203.92,PBKS
RG Sharma,pace,Death,2,6,104,51,4,26.0,203.92,KKR
AM Rahane,spin,Middle,2,5,104,86,2,52.0,120.93,MI
P Simran Singh,neutralish,PP,1,4,104,59,1,104.0,176.27,SRH
Priyansh Arya,pace,Middle,2,5,104,64,5,20.8,162.5,RCB
SV Samson,pace,Middle,1,6,104,81,5,20.8,128.4,GT
Ishan Kishan,pace,PP,2,6,103,76,3,34.33,135.53,MI
N Sindhu,spin,Middle,2,9,103,67,7,14.71,153.73,DC
Smaran Ravichandran,pace,Middle,1,7,103,86,5,20.6,119.77,PBKS
Abhishek Sharma,neutralish,PP,2,3,103,52,2,51.5,198.08,MI
MJ Owen,spin,PP,2,5,103,49,2,51.5,210.2,DC
YBK Jaiswal,pace,PP,2,8,102,64,3,34.0,159.38,RR
SA Yadav,pace,PP,1,10,102,61,2,51.0,167.21,DC
YBK Jaiswal,spin,Middle,1,7,102,70,2,51.0,145.71,RR
AB de Villiers,spin,Middle,1,4,102,79,1,102.0,129.11,RR
JP Inglis,neutralish,PP,1,6,102,68,2,51.0,150.0,GT
C Green,pace,PP,2,9,101,61,2,50.5,165.57,KKR
P Simran Singh,spin,Middle,2,3,101,63,2,50.5,160.32,SRH
Rahul Singh,pace,PP,1,6,100,64,2,50.0,156.25,RCB
MW Short,pace,PP,2,8,100,69,2,50.0,144.93,MI
JP Inglis,pace,PP,1,6,99,64,4,24.75,154.69,GT
SV Samson,neutralish,PP,2,4,99,52,3,33.0,190.38,GT
RA Jadeja,spin,Death,2,10,99,53,4,24.75,186.79,SRH
JP Inglis,neutralish,Middle,2,3,99,67,2,49.5,147.76,GT
FH Allen,spin,Middle,2,5,99,61,3,33.0,162.3,PBKS
KL Rahul,neutralish,PP,2,5,98,49,1,98.0,200.0,SRH
SV Samson,spin,PP,1,5,98,69,1,98.0,142.03,GT
Ishan Kishan,spin,Death,1,4,98,50,2,49.0,196.0,MI
JP Inglis,pace,Middle,2,8,98,78,5,19.6,125.64,GT
N Rana,pace,PP,2,5,98,60,2,49.0,163.33,PBKS
