striker,bowl_type,phase,innings,num_inn,runs,balls_faced,outs,avg,SR,Curr_Tm
RD Rickelton,Pace,Middle,1,6,159,92,4,39.75,172.83,LSG
V Suryavanshi,Spin,PP,2,12,158,100,4,39.5,158.0,PBKS
Tilak Varma,Spin,Middle,1,12,158,91,6,26.33,173.63,CSK
N Sindhu,Pace,Middle,1,12,157,105,3,52.33,149.52,DC
WL Madsen,Spin,Middle,2,7,157,91,1,157.0,172.53,MI
V Kohli,Pace,Middle,2,6,157,109,1,157.0,144.04,RR
MJ Owen,Pace,PP,2,9,156,89,5,31.2,175.28,DC
T Stubbs,Pace,Middle,1,13,156,101,6,26.0,154.46,CSK
JM Sharma,Spin,Death,2,15,154,86,11,14.0,179.07,RCB
N Pooran,Pace,Death,2,10,153,53,7,21.86,288.68,MI
Chirag Jani,Pace,Middle,1,12,152,93,5,30.4,163.44,CSK
MJ Owen,Spin,Middle,2,11,152,95,8,19.0,160.0,DC
VR Iyer,Spin,Middle,2,12,152,100,1,152.0,152.0,SRH
N Sindhu,Pace,Death,1,9,152,84,2,76.0,180.95,DC
B Sai Sudharsan,Spin,PP,2,11,151,92,2,75.5,164.13,PBKS
JM Sharma,Spin,Death,1,7,151,66,1,151.0,228.79,RCB
P Simran Singh,Pace,Middle,2,8,150,89,3,50.0,168.54,SRH
P Simran Singh,Spin,PP,2,10,147,96,3,49.0,153.12,SRH
J Fraser-McGurk,Spin,PP,2,9,147,73,2,73.5,201.37,KKR
BJ McMullen,Spin,PP,1,10,146,101,4,36.5,144.55,RR
GJ Maxwell,Spin,PP,2,13,146,80,2,73.0,182.5,DC
AB de Villiers,Spin,Middle,1,7,145,117,1,145.0,123.93,RR
SV Samson,Pace,Middle,2,10,145,97,6,24.17,149.48,GT
JP Inglis,Pace,PP,1,13,145,99,4,36.25,146.46,GT
PD Salt,Spin,PP,1,11,145,81,5,29.0,179.01,RCB
SS Iyer,Spin,Middle,2,11,144,103,7,20.57,139.81,LSG
WG Jacks,Spin,Middle,2,10,144,110,7,20.57,130.91,LSG
JC Buttler,Pace,Middle,1,14,144,103,5,28.8,139.81,LSG
WG Jacks,Pace,PP,2,14,144,82,5,28.8,175.61,LSG
SA Yadav,Pace,PP,1,15,143,87,4,35.75,164.37,DC
VR Iyer,Pace,Death,2,13,142,66,4,35.5,215.15,SRH
Nithish Kumar Reddy,Spin,Middle,1,13,142,108,2,71.0,131.48,SRH
Ishan Kishan,Pace,PP,2,8,142,96,4,35.5,147.92,MI
Shashank Singh,Pace,Death,1,13,141,77,3,47.0,183.12,PBKS
FH Allen,Pace,Middle,1,9,141,76,5,28.2,185.53,PBKS
SV Samson,Spin,Middle,2,11,140,99,5,28.0,141.41,GT
D Wiese,Pace,Death,1,7,140,51,3,46.67,274.51,GT
V Suryavanshi,Spin,Middle,1,16,140,104,10,14.0,134.62,PBKS
YBK Jaiswal,Pace,PP,2,11,140,73,3,46.67,191.78,RR
Arshad Khan,Pace,Death,1,10,139,62,2,69.5,224.19,DC
KL Rahul,Spin,PP,2,11,139,92,2,69.5,151.09,SRH
Arshad Khan,Pace,Death,2,15,139,70,4,34.75,198.57,DC
Shubman Gill,Pace,Middle,1,9,137,81,3,45.67,169.14,LSG
TM Head,Pace,PP,2,10,136,86,2,68.0,158.14,
N Pooran,Pace,Death,1,12,136,79,8,17.0,172.15,MI
N Pooran,Spin,Middle,2,15,136,86,4,34.0,158.14,MI
N Rana,Pace,Middle,2,6,136,92,2,68.0,147.83,PBKS
Aniket Verma,Pace,Middle,1,11,136,89,5,27.2,152.81,RR
V Suryavanshi,Pace,Middle,1,9,135,96,5,27.0,140.62,PBKS
C Green,Pace,Death,2,8,135,62,5,27.0,217.74,KKR
C Green,Pace,Middle,1,12,134,82,7,19.14,163.41,KKR
Smaran Ravichandran,Pace,Middle,1,15,134,106,6,22.33,126.42,PBKS
V Suryavanshi,Spin,Middle,2,8,133,89,5,26.6,149.44,PBKS
N Rana,Pace,PP,1,12,133,79,3,44.33,168.35,PBKS
RD Rickelton,Pace,PP,2,12,133,77,4,33.25,172.73,LSG
Tarang Gohel,Pace,Middle,1,6,133,69,3,44.33,192.75,DC
JC Buttler,Pace,Death,1,8,133,60,4,33.25,221.67,LSG
S Dube,Pace,PP,1,10,133,75,2,66.5,177.33,RR
SV Samson,Spin,PP,1,13,133,88,5,26.6,151.14,GT
KL Rahul,Pace,Middle,2,11,132,115,1,132.0,114.78,SRH
JP Inglis,Pace,Death,1,10,132,52,5,26.4,253.85,GT
GJ Maxwell,Spin,Middle,2,10,131,88,4,32.75,148.86,DC
AB de Villiers,Pace,Death,1,8,131,50,4,32.75,262.0,RR
RG Sharma,Pace,Death,2,8,131,60,5,26.2,218.33,KKR
GD Phillips,Pace,Death,2,8,131,52,3,43.67,251.92,GT
MW Short,Pace,Middle,2,7,131,84,6,21.83,155.95,MI
Dhruv Jurel,Spin,Middle,2,7,131,94,2,65.5,139.36,KKR
Tilak Varma,Spin,PP,1,12,131,94,4,32.75,139.36,CSK
WG Jacks,Spin,PP,1,16,130,114,6,21.67,114.04,LSG
S Dube,Spin,PP,2,10,130,75,2,65.0,173.33,RR
BJ McMullen,Pace,PP,1,8,130,72,2,65.0,180.56,RR
MP Stoinis,Pace,PP,1,6,130,82,2,65.0,158.54,KKR
PHKD Mendis,Pace,Death,2,8,130,56,5,26.0,232.14,DC
TM Head,Pace,Middle,2,9,130,90,4,32.5,144.44,
SA Yadav,Pace,Death,1,8,129,48,3,43.0,268.75,DC
N Pooran,Pace,Middle,1,14,129,87,4,32.25,148.28,MI
Aniket Verma,Pace,Death,1,8,129,56,3,43.0,230.36,RR
Abishek Porel,Pace,PP,1,7,128,74,1,128.0,172.97,RR
Tanush Kotian,Spin,Death,2,8,128,54,2,64.0,237.04,CSK
Tanush Kotian,Pace,Death,2,10,127,57,6,21.17,222.81,CSK
Aniket Verma,Spin,PP,1,8,126,75,4,31.5,168.0,RR
JP Inglis,Pace,Middle,2,13,125,86,4,31.25,145.35,GT
RD Gaikwad,Spin,Middle,1,14,125,91,7,17.86,137.36,GT
B Sai Sudharsan,Pace,Middle,2,8,124,106,4,31.0,116.98,PBKS
Shashank Singh,Pace,Death,2,10,123,51,3,41.0,241.18,PBKS
PD Salt,Pace,Middle,2,11,123,83,5,24.6,148.19,RCB
JM Sharma,Spin,Middle,1,10,123,73,2,61.5,168.49,RCB
SP Narine,Pace,Middle,2,7,123,91,5,24.6,135.16,KKR
Rahul Singh,Spin,PP,2,5,121,60,1,121.0,201.67,RCB
RD Rickelton,Spin,Middle,2,8,121,82,4,30.25,147.56,LSG
Chirag Jani,Pace,Death,1,9,120,65,5,24.0,184.62,CSK
CH Gayle,Pace,Death,2,5,120,50,2,60.0,240.0,CSK
N Sindhu,Pace,Middle,2,9,120,76,4,30.0,157.89,DC
MP Stoinis,Pace,Middle,2,3,120,65,0,,184.62,KKR
JP Inglis,Spin,PP,1,12,120,77,5,24.0,155.84,GT
Jay Gohil,Pace,Death,1,7,119,66,2,59.5,180.3,LSG
RD Gaikwad,Pace,Middle,2,6,119,65,4,29.75,183.08,GT
N Wadhera,Pace,Death,1,14,119,75,8,14.88,158.67,KKR
BM Duckett,Pace,PP,2,10,119,82,2,59.5,145.12,SRH
S Dube,Pace,PP,2,16,119,87,5,23.8,136.78,RR
SV Samson,Pace,Middle,1,9,117,83,5,23.4,140.96,GT
JC Buttler,Pace,PP,1,11,117,92,3,39.0,127.17,LSG
Shashank Singh,Pace,Middle,1,13,116,84,3,38.67,138.1,PBKS
HH Pandya,Pace,Death,1,12,116,57,2,58.0,203.51,MI
T Stubbs,Spin,Death,1,11,116,56,2,58.0,207.14,CSK
VR Iyer,Pace,Middle,2,9,115,85,3,38.33,135.29,SRH
MP Stoinis,Pace,PP,2,9,115,72,4,28.75,159.72,KKR
Naman Dhir,Pace,PP,1,13,114,76,2,57.0,150.0,GT
Abhishek Sharma,Pace,Middle,2,12,114,76,8,14.25,150.0,MI
R Parag,Spin,Death,2,13,114,52,6,19.0,219.23,GT
Tilak Varma,Pace,Middle,2,9,114,74,5,22.8,154.05,CSK
KA Pollard,Spin,Death,1,11,114,52,3,38.0,219.23,CSK
BJ McMullen,Spin,Middle,1,7,114,86,4,28.5,132.56,RR
C Green,Pace,PP,1,13,114,81,6,19.0,140.74,KKR
V Kohli,Spin,PP,1,8,113,57,3,37.67,198.25,RR
Abdul Samad,Pace,Death,1,13,113,60,5,22.6,188.33,LSG
Abishek Porel,Spin,Middle,1,11,113,80,4,28.25,141.25,RR
KL Rahul,Pace,PP,1,11,112,74,2,56.0,151.35,SRH
R Parag,Pace,Middle,2,11,111,68,1,111.0,163.24,GT
PWH de Silva,Spin,PP,2,8,111,61,1,111.0,181.97,RCB
KL Rahul,Pace,Middle,1,10,111,73,5,22.2,152.05,SRH
HH Pandya,Spin,Death,1,11,111,56,5,22.2,198.21,MI
AD Russell,Pace,Death,1,5,111,52,1,111.0,213.46,DC
TH David,Spin,Middle,1,8,110,59,3,36.67,186.44,PBKS
KA Pollard,Pace,Death,2,4,110,46,1,110.0,239.13,CSK
SP Narine,Spin,Middle,2,8,110,84,5,22.0,130.95,KKR
Hassan Nawaz,Pace,Middle,1,7,109,69,3,36.33,157.97,RCB
MR Marsh,Spin,PP,2,9,109,64,2,54.5,170.31,SRH
JJ Smit,Pace,Death,1,8,109,58,5,21.8,187.93,PBKS
